,max_0,max_360,max_720,max_1080,max_1440,mean_0,mean_360,mean_720,mean_1080,mean_1440,min_0,min_360,min_720,min_1080,min_1440
03_P90_500n_50dp_50d,38.000008,50.171795,49.10911,46.124226,43.599854,38.0,41.689583,41.24337,40.35011,39.7573,37.999992,38.732944,38.555573,38.394062,38.342503
04_P90_500n_50dp_100d,39.000008,49.3644,50.319847,47.60109,44.586395,39.0,42.60965,43.09169,42.071285,40.977097,38.99999,39.68707,39.719128,39.484924,39.166035
06_P90_500n_100dp_50d,43.000008,51.026356,52.461987,51.887836,50.726902,43.0,44.86729,44.846294,44.34604,44.35782,42.99999,42.6147,40.85852,39.352436,39.757244
07_P90_500n_100dp_100d,43.000008,51.188065,53.24643,51.79589,49.0558,43.0,44.627804,45.239784,44.74351,44.12708,42.99999,41.90941,41.36661,40.769646,40.855183
09_P90_500n_200dp_50d,49.000008,52.642113,54.68673,54.672234,53.9908,49.0,50.203865,50.809048,50.6855,50.35998,48.99999,48.92407,48.591682,48.118843,47.738224
10_P90_500n_200dp_100d,48.000008,47.5606,47.195023,47.099396,47.173237,48.0,46.083366,44.42049,43.928772,44.194622,47.99999,43.033577,39.015568,37.943447,38.623447
12_P90_500n_300dp_50d,55.000008,58.92488,60.92725,60.656727,59.96933,55.0,56.249367,56.737312,56.425385,56.022602,54.99999,54.78213,54.22857,53.56599,53.099056
13_P90_500n_300dp_100d,53.000008,57.93525,60.43183,60.06035,59.04414,53.0,54.706974,55.459213,55.1567,54.663307,52.99999,53.01881,52.655373,52.057735,51.58768
16_P90_750n_50dp_50d,40.00001,49.977077,51.249783,52.74513,55.500233,40.0,43.129242,43.354614,43.2046,43.03296,39.999985,40.537514,40.559338,40.425335,39.93859
17_P90_750n_50dp_100d,41.00001,45.693275,45.478252,43.720985,42.048294,41.0,41.065266,40.590763,40.093765,39.829044,40.999985,38.873634,37.73479,37.25165,37.33602
19_P90_750n_100dp_50d,45.00001,51.561016,57.298126,61.071465,64.03257,45.0,46.822044,48.01406,48.48044,48.696915,44.999985,45.073555,44.622578,43.94628,43.121277
22_P90_750n_200dp_50d,50.00001,53.857098,56.063942,56.063213,55.293526,50.0,51.390236,52.16652,52.125515,51.805367,49.99998,50.215687,50.319607,50.028717,49.708733
23_P90_750n_200dp_100d,49.00001,48.656513,48.366184,48.286007,48.34809,49.0,47.28916,45.751404,45.174187,45.313778,48.99998,44.25346,40.2859,38.93935,39.272797
25_P90_750n_300dp_50d,55.000015,57.886574,59.546825,59.611443,59.114925,55.0,55.847694,56.19905,56.04186,55.72118,54.99998,54.68172,54.125885,53.524635,53.06336
26_P90_750n_300dp_100d,53.000015,52.748608,52.642498,53.14011,53.90521,53.0,50.614456,48.13746,47.07619,47.293297,52.99998,45.749523,38.446117,35.236202,35.71748
29_P90_1000n_50dp_50d,42.000015,53.200706,53.525524,49.630775,46.091858,42.0,45.30128,45.44877,44.26836,43.186264,41.999973,42.488766,42.52049,42.358402,42.131134
30_P90_1000n_50dp_100d,43.00002,56.648796,57.728897,53.70634,49.39936,43.0,47.015106,47.39925,46.22078,44.969727,42.99997,43.588017,43.712563,43.563786,43.379707
32_P90_1000n_100dp_50d,46.00002,53.927204,61.741165,65.75986,69.09638,46.0,48.07667,49.93735,50.30219,50.543995,45.999973,46.21925,46.3406,45.83952,45.3954
33_P90_1000n_100dp_100d,47.00002,56.29114,55.98237,52.326363,49.40493,47.0,49.49034,49.227974,48.04133,47.104954,46.999966,47.169415,46.54576,45.826283,45.486233
