,max_0,max_360,max_720,max_1080,max_1440,max_1800,max_2160,max_2520,max_2840,max_3240,mean_0,mean_360,mean_720,mean_1080,mean_1440,mean_1800,mean_2160,mean_2520,mean_2840,mean_3240,min_0,min_360,min_720,min_1080,min_1440,min_1800,min_2160,min_2520,min_2840,min_3240,plane_min_0,plane_mean_0,plane_max_0,plane_min_360,plane_mean_360,plane_max_360,plane_min_720,plane_mean_720,plane_max_720,plane_min_1080,plane_mean_1080,plane_max_1080,plane_min_1440,plane_mean_1440,plane_max_1440,plane_min_1800,plane_mean_1800,plane_max_1800,plane_min_2160,plane_mean_2160,plane_max_2160,plane_min_2520,plane_mean_2520,plane_max_2520,plane_min_2840,plane_mean_2840,plane_max_2840,plane_min_3240,plane_mean_3240,plane_max_3240
02_P90_500n_50dp_20d,38.000008,39.963825,43.772923,45.444973,46.502872,,,,,,38.0,38.796722,40.094425,40.786,41.211994,,,,,,37.999992,38.16709,38.542755,38.712936,38.81065,,,,,,37.999992,38.0,38.000008,38.16709,38.796722,39.963825,38.542755,40.094425,43.772923,38.712936,40.786,45.444973,38.81065,41.211994,46.502872,,,,,,,,,,,,,,,
03_P90_500n_50dp_50d,38.000008,39.84294,43.6671,46.132774,45.992397,,,,,,38.0,38.730343,40.174248,41.026863,40.915527,,,,,,37.999992,38.13293,38.61052,38.81248,38.781063,,,,,,37.999992,38.0,38.000008,38.13293,38.730343,39.84294,38.61052,40.174248,43.6671,38.81248,41.026863,46.132774,38.781063,40.915527,45.992397,,,,,,,,,,,,,,,
04_P90_500n_50dp_100d,39.000008,39.93119,41.11667,44.475056,47.648243,,,,,,39.0,39.36727,39.89629,40.841824,41.67223,,,,,,38.99999,39.05572,39.19315,39.336994,39.479126,,,,,,38.99999,39.0,39.000008,39.05572,39.36727,39.93119,39.19315,39.89629,41.11667,39.336994,40.841824,44.475056,39.479126,41.67223,47.648243,,,,,,,,,,,,,,,
06_P90_500n_100dp_50d,43.000008,44.44782,45.602905,46.131374,46.554665,,,,,,43.0,43.598686,44.112656,44.34774,44.46829,,,,,,42.99999,43.11006,43.300617,43.33161,43.30612,,,,,,42.99999,43.0,43.000008,43.11006,43.598686,44.44782,43.300617,44.112656,45.602905,43.33161,44.34774,46.131374,43.30612,44.46829,46.554665,,,,,,,,,,,,,,,
07_P90_500n_100dp_100d,43.000008,44.156723,47.70915,50.196648,51.430126,,,,,,43.0,43.38665,44.614353,45.48818,45.851215,,,,,,42.99999,42.89799,43.298153,43.41237,43.42555,,,,,,42.99999,43.0,43.000008,42.89799,43.38665,44.156723,43.298153,44.614353,47.70915,43.41237,45.48818,50.196648,43.42555,45.851215,51.430126,,,,,,,,,,,,,,,
09_P90_500n_200dp_50d,49.000008,51.292133,53.108913,53.87286,53.918983,,,,,,49.0,49.82685,50.479565,50.748867,50.72538,,,,,,48.99999,49.11023,49.212288,49.255924,49.258804,,,,,,48.99999,49.0,49.000008,49.11023,49.82685,51.292133,49.212288,50.479565,53.108913,49.255924,50.748867,53.87286,49.258804,50.72538,53.918983,,,,,,,,,,,,,,,
10_P90_500n_200dp_100d,48.000008,47.925297,49.92678,53.317856,55.08256,54.1285285949707,55.302120208740234,56.371620178222656,,58.48880386352539,48.0,47.710102,48.12005,49.24299,50.088017,49.63932800292969,49.93795394897461,50.299949645996094,,51.07057189941406,47.99999,47.04491,46.91304,46.94713,46.83757,46.40395736694336,46.096195220947266,45.87926483154297,,45.83515548706055,47.99999,48.0,48.000008,47.04491,47.710102,47.925297,46.91304,48.12005,49.92678,46.94713,49.24299,53.317856,46.83757,50.088017,55.08256,46.40395736694336,49.63932800292969,54.1285285949707,46.096195220947266,49.93795394897461,55.302120208740234,45.87926483154297,50.299949645996094,56.371620178222656,,,,45.83515548706055,51.07057189941406,58.48880386352539
12_P90_500n_300dp_50d,55.000008,58.230297,60.590763,61.57042,61.564793,,,,,,55.0,56.103252,56.979042,57.347015,57.278927,,,,,,54.99999,54.794117,55.259228,55.28115,55.250374,,,,,,54.99999,55.0,55.000008,54.794117,56.103252,58.230297,55.259228,56.979042,60.590763,55.28115,57.347015,61.57042,55.250374,57.278927,61.564793,,,,,,,,,,,,,,,
13_P90_500n_300dp_100d,53.000008,55.444553,57.799786,,,,,,,,53.0,53.892845,54.69628,,,,,,,,52.99999,53.121727,52.83765,,,,,,,,52.99999,53.0,53.000008,53.121727,53.892845,55.444553,52.83765,54.69628,57.799786,,,,,,,,,,,,,,,,,,,,,
15_P90_750n_50dp_20d,40.00001,41.840405,47.426777,51.302288,53.778774,,,,,,40.0,40.387352,42.315285,43.69931,44.291702,,,,,,39.999985,40.022266,40.434917,40.707054,40.844482,,,,,,39.999985,40.0,40.00001,40.022266,40.387352,41.840405,40.434917,42.315285,47.426777,40.707054,43.69931,51.302288,40.844482,44.291702,53.778774,,,,,,,,,,,,,,,
16_P90_750n_50dp_50d,40.00001,41.13577,45.606228,50.230244,53.338,,,,,,40.0,40.394493,41.49384,42.629013,43.52868,,,,,,39.999985,40.04195,40.173504,40.34185,40.4587,,,,,,39.999985,40.0,40.00001,40.04195,40.394493,41.13577,40.173504,41.49384,45.606228,40.34185,42.629013,50.230244,40.4587,43.52868,53.338,,,,,,,,,,,,,,,
17_P90_750n_50dp_100d,41.00001,41.407894,41.93736,42.2955,42.558086,,,,,,41.0,41.09662,41.16129,41.168884,41.165707,,,,,,40.999985,40.888866,40.488594,40.042442,39.64558,,,,,,40.999985,41.0,41.00001,40.888866,41.09662,41.407894,40.488594,41.16129,41.93736,40.042442,41.168884,42.2955,39.64558,41.165707,42.558086,,,,,,,,,,,,,,,
19_P90_750n_100dp_50d,45.00001,45.878983,46.66761,47.137306,51.43853,,,,,,45.0,45.294304,45.53902,45.709667,47.072834,,,,,,44.999985,45.03184,45.058002,45.033257,45.26439,,,,,,44.999985,45.0,45.00001,45.03184,45.294304,45.878983,45.058002,45.53902,46.66761,45.033257,45.709667,47.137306,45.26439,47.072834,51.43853,,,,,,,,,,,,,,,
20_P90_750n_100dp_100d,45.00001,45.523796,46.31364,47.04363,47.50276,,,,,,45.0,45.11508,45.22485,45.30768,45.331223,,,,,,44.999985,44.679874,43.89866,43.032562,42.270077,,,,,,44.999985,45.0,45.00001,44.679874,45.11508,45.523796,43.89866,45.22485,46.31364,43.032562,45.30768,47.04363,42.270077,45.331223,47.50276,,,,,,,,,,,,,,,
22_P90_750n_200dp_50d,50.00001,52.556965,54.58867,55.47197,61.184616,,,,,,50.0,50.896915,51.593887,51.934124,53.649498,,,,,,49.99998,50.101902,50.18491,50.163414,50.45015,,,,,,49.99998,50.0,50.00001,50.101902,50.896915,52.556965,50.18491,51.593887,54.58867,50.163414,51.934124,55.47197,50.45015,53.649498,61.184616,,,,,,,,,,,,,,,
23_P90_750n_200dp_100d,49.00001,49.751766,50.530357,51.128017,51.573807,,,,,,49.0,49.182285,49.31286,49.38932,49.440605,,,,,,48.99998,48.5617,47.73997,46.899574,46.225704,,,,,,48.99998,49.0,49.00001,48.5617,49.182285,49.751766,47.73997,49.31286,50.530357,46.899574,49.38932,51.128017,46.225704,49.440605,51.573807,,,,,,,,,,,,,,,
25_P90_750n_300dp_50d,55.000015,57.713844,59.97198,61.182476,61.426186,,,,,,55.0,55.90341,56.629898,57.00088,56.99187,,,,,,54.99998,55.09989,55.17109,55.215317,55.218258,,,,,,54.99998,55.0,55.000015,55.09989,55.90341,57.713844,55.17109,56.629898,59.97198,55.215317,57.00088,61.182476,55.218258,56.99187,61.426186,,,,,,,,,,,,,,,
26_P90_750n_300dp_100d,53.000015,53.8616,54.79664,55.57274,56.10624,,,,,,53.0,53.198833,53.377743,53.512188,53.59198,,,,,,52.99998,52.428963,51.532932,50.65336,49.934044,,,,,,52.99998,53.0,53.000015,52.428963,53.198833,53.8616,51.532932,53.377743,54.79664,50.65336,53.512188,55.57274,49.934044,53.59198,56.10624,,,,,,,,,,,,,,,
29_P90_1000n_50dp_50d,42.000015,43.182926,43.419514,43.27756,43.02205,,,,,,42.0,42.333878,42.400654,42.360584,42.288467,,,,,,41.999973,42.024197,42.029037,42.026134,42.02091,,,,,,41.999973,42.0,42.000015,42.024197,42.333878,43.182926,42.029037,42.400654,43.419514,42.026134,42.360584,43.27756,42.02091,42.288467,43.02205,,,,,,,,,,,,,,,
30_P90_1000n_50dp_100d,43.00002,44.797306,46.470192,47.615498,48.257996,,,,,,43.0,43.59108,44.07749,44.381306,44.528057,,,,,,42.99997,43.058228,43.102493,43.128014,43.13932,,,,,,42.99997,43.0,43.00002,43.058228,43.59108,44.797306,43.102493,44.07749,46.470192,43.128014,44.381306,47.615498,43.13932,44.528057,48.257996,,,,,,,,,,,,,,,
