%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.542112e-004	-9.389406e-003	-5.295073e-004	1.339898e-002	3.410000e-002	2.426800e-002	2.135800e-002	0.000000e+000	5.886800e-002	6.952305e-310	3.531000e-003	0.000000e+000	4.837628e-002	1.427628e-002	-0.000000e+000	1.231847e-010	1.231847e-010	0.000000e+000	-0.000000e+000	-1.137699e-001	-2.168226e-003	-2.168226e-003	0.000000e+000	-1.170954e+001	-3.528123e-003	-1.170601e+001	3.708652e+001	2.923580e-001	-2.168226e-003	-2.168226e-003	0.000000e+000	1.170248e+001	-3.528123e-003	1.170601e+001	3.195850e+002	1.392620e+000	2.693721e+001	-3.654194e+002	-6.402373e+001	1.429520e+003	-2.705386e+001	3.714034e+002	6.711274e+001	-1.434475e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	1.166498e-001	-5.984009e+000	-3.089003e+000	4.955179e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.351617e+001	-8.717067e-006
3.70370370e-005	2.77777778e-003	1.00000000e+000	2.79337476e-008	-3.47755791e-007	-1.96113821e-008	4.96258662e-007	1.25452468e-003	-1.13647475e-002	-1.37433450e-003	1.60198357e-002	3.41000000e-002	2.42664302e-002	2.13564302e-002	0.00000000e+000	5.88660000e-002	-1.56980645e-006	3.53300000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-8.65761557e-002	-7.72339290e-009	5.14354562e-010	-8.23774746e-009	4.00432544e-005	-1.15151160e-001	2.18689161e-001	-5.76497940e-003	2.24454140e-001	-1.18517044e+001	-1.05393615e-003	-1.18506505e+001	3.70865201e+001	3.43651000e-001	-2.30219120e-001	-5.76497940e-003	-2.24454140e-001	1.18495965e+001	-1.05393615e-003	1.18506505e+001	3.19732000e+002	1.17537000e+000	2.82162460e+001	-3.65752616e+002	-6.70668472e+001	1.43039783e+003	-2.84544877e+001	3.66012429e+002	6.73586529e+001	-1.43295987e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	2.38241675e-001	-2.59813251e-001	-2.91805740e-001	2.56203566e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.43735311e+001	5.06924121e-004
7.40740741e-005	5.55555556e-003	2.00000000e+000	7.43976245e-008	-7.68672365e-007	-7.05126600e-008	1.08958591e-006	1.48729616e-003	-1.21677155e-002	-1.77343294e-003	1.70810841e-002	3.41000000e-002	2.42617212e-002	2.13517212e-002	0.00000000e+000	5.88610000e-002	-6.27880884e-006	3.53800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-1.73127701e-001	-2.21199370e-008	1.49607444e-009	-2.36160114e-008	1.62219175e-004	-1.16466976e-001	4.43033161e-001	-1.10540885e-002	4.54087250e-001	-1.19871322e+001	1.94102390e-003	-1.19890732e+001	3.70896334e+001	9.33114000e-001	-4.65141338e-001	-1.10540885e-002	-4.54087250e-001	1.19910142e+001	1.94102390e-003	1.19890732e+001	3.19865000e+002	1.09377000e+000	2.96390920e+001	-3.69735900e+002	-7.04570331e+001	1.44008174e+003	-2.96759095e+001	3.69470673e+002	7.04519850e+001	-1.44073659e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	3.68174377e-002	2.65227122e-001	5.04811315e-003	6.54853264e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.57282427e+001	1.47951410e-004
1.11111111e-004	8.33333333e-003	3.00000000e+000	1.29482667e-007	-1.21932850e-006	-1.36195362e-007	1.72221866e-006	1.59569424e-003	-1.24512798e-002	-1.95486208e-003	1.74708446e-002	3.41000000e-002	2.42538742e-002	2.13438742e-002	0.00000000e+000	5.88530000e-002	-1.41257564e-005	3.54600000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-2.59630030e-001	-4.17416151e-008	3.39527948e-009	-4.51368945e-008	3.82430915e-004	-1.17689929e-001	6.96475813e-001	8.20905618e-003	6.88266757e-001	-1.21130021e+001	4.54550358e-003	-1.21175476e+001	3.72552021e+001	2.69017000e+000	-6.80057701e-001	8.20905618e-003	-6.88266757e-001	1.21220931e+001	4.54550358e-003	1.21175476e+001	3.19987000e+002	1.06486000e+000	3.17493006e+001	-3.81779855e+002	-7.54874798e+001	1.46906351e+003	-3.18031025e+001	3.81534231e+002	7.54431272e+001	-1.46934101e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	5.38018958e-002	2.45624006e-001	4.43526117e-002	2.77499215e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.75394736e+001	-7.05504255e-003
1.48148148e-004	1.11111111e-002	4.00000000e+000	1.88582454e-007	-1.68048701e-006	-2.08597661e-007	2.36928697e-006	1.63830290e-003	-1.24741651e-002	-2.02726052e-003	1.75296075e-002	3.41000000e-002	2.42428914e-002	2.13328914e-002	0.00000000e+000	5.88420000e-002	-2.51085648e-005	3.55700000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-3.46058549e-001	-6.56675452e-008	6.22252038e-009	-7.18900656e-008	7.23291808e-004	-1.18828099e-001	9.88285079e-001	6.18792319e-002	9.26405847e-001	-1.22301460e+001	6.56125349e-003	-1.22367073e+001	3.74906978e+001	5.17594000e+000	-8.64526616e-001	6.18792319e-002	-9.26405847e-001	1.22432685e+001	6.56125349e-003	1.22367073e+001	3.20100000e+002	1.05081000e+000	3.46910122e+001	-3.98769093e+002	-8.25029723e+001	1.50995110e+003	-3.48383263e+001	3.98482809e+002	8.23984693e+001	-1.51025446e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	1.47314108e-001	2.86283525e-001	1.04503007e-001	3.03362108e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.97130479e+001	-2.74223729e-002
1.85185185e-004	1.38888889e-002	5.00000000e+000	2.49260339e-007	-2.14249312e-006	-2.83681384e-007	3.01853170e-006	1.64674416e-003	-1.23704719e-002	-2.05151415e-003	1.74336703e-002	3.41000000e-002	2.42287757e-002	2.13187757e-002	0.00000000e+000	5.88280000e-002	-3.92243162e-005	3.57100000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-4.32388679e-001	-9.37669622e-008	9.29437954e-009	-1.03061342e-007	1.17847046e-003	-1.19906611e-001	1.28877144e+000	1.20611573e-001	1.16815987e+000	-1.23411497e+001	8.10742737e-003	-1.23492571e+001	3.78015781e+001	8.43369000e+000	-1.04754830e+000	1.20611573e-001	-1.16815987e+000	1.23573646e+001	8.10742737e-003	1.23492571e+001	3.20203000e+002	1.04139000e+000	3.87573616e+001	-4.20953730e+002	-9.22039011e+001	1.56335754e+003	-3.87394396e+001	4.20778181e+002	9.21759215e+001	-1.56357906e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-1.79219097e-002	1.75548686e-001	2.79795922e-002	2.21526590e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.21414694e+001	-6.97034530e-002
2.22222222e-004	1.66666667e-002	6.00000000e+000	3.10250864e-007	-2.60065875e-006	-3.59663389e-007	3.66422319e-006	1.64882908e-003	-1.22396596e-002	-2.06889413e-003	1.73060893e-002	3.41000000e-002	2.42115307e-002	2.13015307e-002	0.00000000e+000	5.88110000e-002	-5.64692598e-005	3.58800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-5.18595864e-001	-1.24627053e-007	1.33100485e-008	-1.37937102e-007	1.78695913e-003	-1.20950067e-001	1.62942084e+000	2.15985661e-001	1.41343517e+000	-1.24485454e+001	9.78123284e-003	-1.24583266e+001	3.81683255e+001	1.22427000e+001	-1.19744951e+000	2.15985661e-001	-1.41343517e+000	1.24681078e+001	9.78123284e-003	1.24583266e+001	3.20289000e+002	1.03475000e+000	4.40494509e+001	-4.46741196e+002	-1.04835590e+002	1.62551640e+003	-4.40582610e+001	4.46341717e+002	1.04751047e+002	-1.62590348e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	8.81003208e-003	3.99478604e-001	8.45424329e-002	3.87089261e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.48655160e+001	-1.40114457e-001
2.59259259e-004	1.94444444e-002	7.00000000e+000	3.71318607e-007	-3.05397948e-006	-4.36289098e-007	4.30518946e-006	1.65804925e-003	-1.21281533e-002	-2.09747267e-003	1.72025533e-002	3.41000000e-002	2.41911612e-002	2.12811612e-002	0.00000000e+000	5.87910000e-002	-7.68388127e-005	3.60800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-6.04655572e-001	-1.57672199e-007	1.82149907e-008	-1.75887190e-007	2.56676299e-003	-1.21987038e-001	2.00744894e+000	3.45210749e-001	1.66223819e+000	-1.25552736e+001	1.07555527e-002	-1.25660291e+001	3.86208604e+001	1.68927000e+001	-1.31702744e+000	3.45210749e-001	-1.66223819e+000	1.25767847e+001	1.07555527e-002	1.25660291e+001	3.20365000e+002	1.02966000e+000	5.10298804e+001	-4.78085757e+002	-1.21505719e+002	1.70110481e+003	-5.10735921e+001	4.77801489e+002	1.21476244e+002	-1.70145552e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.37116692e-002	2.84268160e-001	2.94748607e-002	3.50710726e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.77666384e+001	-2.50583696e-001
2.96296296e-004	2.22222222e-002	8.00000000e+000	4.32727839e-007	-3.50317034e-006	-5.13973271e-007	4.94232106e-006	1.68460868e-003	-1.20583807e-002	-2.15174443e-003	1.71539567e-002	3.41000000e-002	2.41676724e-002	2.12576724e-002	0.00000000e+000	5.87670000e-002	-1.00327560e-004	3.63200000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-6.90543307e-001	-1.92314440e-007	2.40529798e-008	-2.16367419e-007	3.53441476e-003	-1.23035436e-001	2.42055759e+000	5.05828726e-001	1.91472886e+000	-1.26631779e+001	1.12752192e-002	-1.26744531e+001	3.91424768e+001	2.21856000e+001	-1.40890013e+000	5.05828726e-001	-1.91472886e+000	1.26857283e+001	1.12752192e-002	1.26744531e+001	3.20426000e+002	1.02552000e+000	5.97860681e+001	-5.13485913e+002	-1.42435151e+002	1.78663258e+003	-5.98353962e+001	5.13115984e+002	1.42342105e+002	-1.78705068e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.93280361e-002	3.69929131e-001	9.30458053e-002	4.18095652e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.09048047e+001	-4.07429679e-001
3.33333333e-004	2.50000000e-002	9.00000000e+000	4.95120753e-007	-3.94977703e-006	-5.93667509e-007	5.57765279e-006	1.72878008e-003	-1.20315507e-002	-2.23976580e-003	1.71569557e-002	3.41000000e-002	2.41410707e-002	2.12310707e-002	0.00000000e+000	5.87410000e-002	-1.26929255e-004	3.65800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-7.76234607e-001	-2.27939585e-007	3.09721074e-008	-2.58911692e-007	4.70880424e-003	-1.24115725e-001	2.86900566e+000	6.97758044e-001	2.17124761e+000	-1.27743645e+001	1.14741614e-002	-1.27858386e+001	3.97510133e+001	2.82723000e+001	-1.47348957e+000	6.97758044e-001	-2.17124761e+000	1.27973128e+001	1.14741614e-002	1.27858386e+001	3.20472000e+002	1.02194000e+000	7.07198259e+001	-5.53968194e+002	-1.68587042e+002	1.88448054e+003	-7.07341537e+001	5.53600335e+002	1.68537158e+002	-1.88489150e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	1.43278544e-002	3.67859491e-001	4.98831568e-002	4.10962485e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.43414342e+001	-6.21643674e-001
3.70370370e-004	2.77777778e-002	1.00000000e+001	5.59149645e-007	-4.39539002e-006	-6.76621798e-007	6.21309560e-006	1.78466717e-003	-1.20438001e-002	-2.35566314e-003	1.72101734e-002	3.41000000e-002	2.41113632e-002	2.12013632e-002	0.00000000e+000	5.87110000e-002	-1.56636823e-004	3.68800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-8.61705056e-001	-2.63641648e-007	3.94742013e-008	-3.03115849e-007	6.13155971e-003	-1.25240449e-001	3.36553369e+000	9.33342137e-001	2.43219155e+000	-1.28901244e+001	1.17259618e-002	-1.29018504e+001	4.04452985e+001	3.51042000e+001	-1.49884941e+000	9.33342137e-001	-2.43219155e+000	1.29135763e+001	1.17259618e-002	1.29018504e+001	3.20503000e+002	1.01719000e+000	8.40352311e+001	-5.99011677e+002	-2.00471027e+002	1.99355629e+003	-8.42718620e+001	5.98466668e+002	2.00270225e+002	-1.99406496e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	2.36630834e-001	5.45008651e-001	2.00802752e-001	5.08670961e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.81306899e+001	-8.99128749e-001
4.07407407e-004	3.05555556e-002	1.10000000e+001	6.25248429e-007	-4.84145669e-006	-7.63868581e-007	6.85050943e-006	1.84861432e-003	-1.21072831e-002	-2.49822457e-003	1.73161005e-002	3.41000000e-002	2.40785576e-002	2.11685576e-002	0.00000000e+000	5.86780000e-002	-1.89442358e-004	3.72100000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-9.46930283e-001	-2.98752079e-007	4.98926118e-008	-3.48644691e-007	7.84184685e-003	-1.26421086e-001	3.91717273e+000	1.21914142e+000	2.69803131e+000	-1.30116392e+001	1.22845932e-002	-1.30239237e+001	4.12118746e+001	4.25129000e+001	-1.47888988e+000	1.21914142e+000	-2.69803131e+000	1.30362083e+001	1.22845932e-002	1.30239237e+001	3.20518000e+002	1.01261000e+000	9.97469857e+001	-6.47379849e+002	-2.38137913e+002	2.11090382e+003	-9.97215324e+001	6.46909303e+002	2.38125286e+002	-2.11127720e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-2.54532730e-002	4.70545996e-001	1.26271272e-002	3.73386936e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	8.24510754e+001	-1.24020652e+000
