%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.297099e-004	-9.360947e-003	-5.032751e-004	1.337327e-002	3.410000e-002	2.426800e-002	2.135800e-002	0.000000e+000	5.886800e-002	6.952304e-310	3.531000e-003	0.000000e+000	4.837628e-002	1.427628e-002	-0.000000e+000	1.239990e-010	1.239990e-010	0.000000e+000	-0.000000e+000	-1.138153e-001	-2.163675e-003	-2.163675e-003	0.000000e+000	-1.171421e+001	-3.594564e-003	-1.171061e+001	3.708652e+001	2.923580e-001	-2.163675e-003	-2.163675e-003	0.000000e+000	1.170702e+001	-3.594564e-003	1.171061e+001	3.195850e+002	1.392620e+000	2.693721e+001	-3.654194e+002	-6.402373e+001	1.429520e+003	-2.747857e+001	3.672777e+002	6.599271e+001	-1.436417e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	5.413603e-001	-1.858291e+000	-1.968982e+000	6.897371e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.353749e+001	-8.774691e-006
3.70370370e-005	2.77777778e-003	1.00000000e+000	2.70262936e-008	-3.46701738e-007	-1.86398201e-008	4.95306293e-007	1.19859263e-003	-1.12424380e-002	-1.30524514e-003	1.58728783e-002	3.41000000e-002	2.42664302e-002	2.13564302e-002	0.00000000e+000	5.88660000e-002	-1.56980645e-006	3.53300000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-8.65761557e-002	-7.71252980e-009	5.23076832e-010	-8.23560663e-009	4.00783836e-005	-1.15202413e-001	2.18881013e-001	-5.66967220e-003	2.24550685e-001	-1.18569795e+001	-1.23166029e-003	-1.18557478e+001	3.70865201e+001	3.43651000e-001	-2.30220357e-001	-5.66967220e-003	-2.24550685e-001	1.18545161e+001	-1.23166029e-003	1.18557478e+001	3.19732000e+002	1.17537000e+000	2.82162468e+001	-3.65752663e+002	-6.70668491e+001	1.43039794e+003	-2.82785824e+001	3.66103139e+002	6.74248471e+001	-1.43270920e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	6.23356034e-002	-3.50476234e-001	-3.57998020e-001	2.31125771e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.44031241e+001	5.06211122e-004
7.40740741e-005	5.55555556e-003	2.00000000e+000	7.14186133e-008	-7.63088331e-007	-6.69822326e-008	1.08319067e-006	1.41318288e-003	-1.19761510e-002	-1.67177466e-003	1.68520013e-002	3.41000000e-002	2.42617212e-002	2.13517212e-002	0.00000000e+000	5.88610000e-002	-6.27880884e-006	3.53800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-1.73127701e-001	-2.20868582e-008	1.52179939e-009	-2.36086576e-008	1.62390515e-004	-1.16517470e-001	4.43501105e-001	-1.07720164e-002	4.54273122e-001	-1.19923292e+001	1.65152938e-003	-1.19939807e+001	3.70896334e+001	9.33114000e-001	-4.65045138e-001	-1.07720164e-002	-4.54273122e-001	1.19956322e+001	1.65152938e-003	1.19939807e+001	3.19865000e+002	1.09377000e+000	2.96390960e+001	-3.69736014e+002	-7.04570425e+001	1.44008201e+003	-2.96290097e+001	3.69517382e+002	7.04682704e+001	-1.44066579e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-1.00863351e-002	2.18632002e-001	-1.12278687e-002	5.83782340e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.57656602e+001	1.47730160e-004
1.11111111e-004	8.33333333e-003	3.00000000e+000	1.23758720e-007	-1.20664948e-006	-1.28899813e-007	1.70733887e-006	1.50997447e-003	-1.22103637e-002	-1.83128796e-003	1.71815758e-002	3.41000000e-002	2.42538742e-002	2.13438742e-002	0.00000000e+000	5.88530000e-002	-1.41257564e-005	3.54600000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-2.59630030e-001	-4.16838869e-008	3.43532650e-009	-4.51192134e-008	3.83191768e-004	-1.17734297e-001	6.97861465e-001	9.35932705e-003	6.88502138e-001	-1.21175687e+001	4.12305833e-003	-1.21216917e+001	3.72552021e+001	2.69017000e+000	-6.79142811e-001	9.35932705e-003	-6.88502138e-001	1.21258148e+001	4.12305833e-003	1.21216917e+001	3.19987000e+002	1.06486000e+000	3.17493183e+001	-3.81780193e+002	-7.54875218e+001	1.46906431e+003	-3.17267851e+001	3.81509421e+002	7.54840081e+001	-1.46936416e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-2.25331370e-002	2.70771413e-001	3.51368677e-003	2.99849225e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.75784479e+001	-7.04528551e-003
1.48148148e-004	1.11111111e-002	4.00000000e+000	1.79683700e-007	-1.65888517e-006	-1.96725293e-007	2.34369353e-006	1.54479753e-003	-1.22040622e-002	-1.88922776e-003	1.72029405e-002	3.41000000e-002	2.42428914e-002	2.13328914e-002	0.00000000e+000	5.88420000e-002	-2.51085648e-005	3.55700000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-3.46058549e-001	-6.56279291e-008	6.22843675e-009	-7.18563659e-008	7.23927766e-004	-1.18861645e-001	9.89154034e-001	6.25308426e-002	9.26623191e-001	-1.22335987e+001	5.97938989e-003	-1.22395781e+001	3.74906978e+001	5.17594000e+000	-8.64092348e-001	6.25308426e-002	-9.26623191e-001	1.22455575e+001	5.97938989e-003	1.22395781e+001	3.20100000e+002	1.05081000e+000	3.46910270e+001	-3.98769304e+002	-8.25030074e+001	1.50995160e+003	-3.46499874e+001	3.98477308e+002	8.25290266e+001	-1.51025593e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-4.10395412e-002	2.91995423e-001	-2.60191542e-002	3.04328948e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.97331739e+001	-2.74058294e-002
1.85185185e-004	1.38888889e-002	5.00000000e+000	2.36898424e-007	-2.11088747e-006	-2.66696691e-007	2.98083948e-006	1.55567890e-003	-1.21053795e-002	-1.91321220e-003	1.71169880e-002	3.41000000e-002	2.42287757e-002	2.13187757e-002	0.00000000e+000	5.88280000e-002	-3.92243162e-005	3.57100000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-4.32388679e-001	-9.37178765e-008	9.29217468e-009	-1.03010051e-007	1.17682019e-003	-1.19933806e-001	1.28696671e+000	1.18574226e-001	1.16839249e+000	-1.23439487e+001	7.76754566e-003	-1.23517163e+001	3.78015781e+001	8.43369000e+000	-1.04981826e+000	1.18574226e-001	-1.16839249e+000	1.23594838e+001	7.76754566e-003	1.23517163e+001	3.20203000e+002	1.04139000e+000	3.87573233e+001	-4.20953292e+002	-9.22038100e+001	1.56335650e+003	-3.89948857e+001	4.20712188e+002	9.19461714e+001	-1.56359607e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	2.37562425e-001	2.41104044e-001	2.57638597e-001	2.39570779e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.21874571e+001	-6.96669641e-002
2.22222222e-004	1.66666667e-002	6.00000000e+000	2.94516161e-007	-2.55923486e-006	-3.37556403e-007	3.61480199e-006	1.55307009e-003	-1.19592247e-002	-1.92077124e-003	1.69636578e-002	3.41000000e-002	2.42115307e-002	2.13015307e-002	0.00000000e+000	5.88110000e-002	-5.64692598e-005	3.58800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-5.18595864e-001	-1.24496051e-007	1.33655098e-008	-1.37861561e-007	1.79096216e-003	-1.20968579e-001	1.63307096e+000	2.19496408e-001	1.41357455e+000	-1.24504507e+001	9.10439284e-003	-1.24595551e+001	3.81683255e+001	1.22427000e+001	-1.19407814e+000	2.19496408e-001	-1.41357455e+000	1.24686595e+001	9.10439284e-003	1.24595551e+001	3.20289000e+002	1.03475000e+000	4.40495437e+001	-4.46742078e+002	-1.04835811e+002	1.62551850e+003	-4.41002990e+001	4.46423155e+002	1.04803933e+002	-1.62583822e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	5.07553180e-002	3.18923086e-001	3.18776864e-002	3.19723588e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.48488424e+001	-1.39967175e-001
2.59259259e-004	1.94444444e-002	7.00000000e+000	3.52037275e-007	-3.00216911e-006	-4.08696078e-007	4.24308561e-006	1.56173310e-003	-1.18469991e-002	-1.94496646e-003	1.68545495e-002	3.41000000e-002	2.41911612e-002	2.12811612e-002	0.00000000e+000	5.87910000e-002	-7.68388127e-005	3.60800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-6.04655572e-001	-1.57600929e-007	1.81816006e-008	-1.75782530e-007	2.56818803e-003	-1.21993366e-001	2.00856346e+000	3.46321600e-001	1.66224186e+000	-1.25559249e+001	1.01319861e-002	-1.25660569e+001	3.86208604e+001	1.68927000e+001	-1.31592026e+000	3.46321600e-001	-1.66224186e+000	1.25761889e+001	1.01319861e-002	1.25660569e+001	3.20365000e+002	1.02966000e+000	5.10299134e+001	-4.78086026e+002	-1.21505797e+002	1.70110545e+003	-5.11644688e+001	4.77842130e+002	1.21415491e+002	-1.70139260e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	1.34555379e-001	2.43896286e-001	9.03066090e-002	2.87145236e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.76934573e+001	-2.50470429e-001
2.96296296e-004	2.22222222e-002	8.00000000e+000	4.09879242e-007	-3.44094685e-006	-4.80731873e-007	4.86732819e-006	1.58724152e-003	-1.17719375e-002	-1.99565925e-003	1.67937157e-002	3.41000000e-002	2.41676724e-002	2.12576724e-002	0.00000000e+000	5.87670000e-002	-1.00327560e-004	3.63200000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-6.90543307e-001	-1.92147499e-007	2.40836604e-008	-2.16231159e-007	3.54042704e-003	-1.23031328e-001	2.42467512e+000	5.10098296e-001	1.91457682e+000	-1.26627550e+001	1.06916847e-002	-1.26734467e+001	3.91424768e+001	2.21856000e+001	-1.40447852e+000	5.10098296e-001	-1.91457682e+000	1.26841384e+001	1.06916847e-002	1.26734467e+001	3.20426000e+002	1.02552000e+000	5.97862072e+001	-5.13486903e+002	-1.42435482e+002	1.78663494e+003	-5.97790774e+001	5.13154676e+002	1.42462992e+002	-1.78697629e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-7.12984641e-003	3.32227081e-001	-2.75095981e-002	3.41349582e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.07972610e+001	-4.07076005e-001
3.33333333e-004	2.50000000e-002	9.00000000e+000	4.68665965e-007	-3.87694454e-006	-5.54645179e-007	5.48931766e-006	1.62845668e-003	-1.17460585e-002	-2.07921278e-003	1.67931660e-002	3.41000000e-002	2.41410707e-002	2.12310707e-002	0.00000000e+000	5.87410000e-002	-1.26929255e-004	3.65800000e-003	0.00000000e+000	4.83762776e-002	1.42762776e-002	-7.76234607e-001	-2.27766884e-007	3.09743257e-008	-2.58741209e-007	4.71222575e-003	-1.24099809e-001	2.87109034e+000	7.00182652e-001	2.17090768e+000	-1.27727263e+001	1.11105639e-002	-1.27838369e+001	3.97510133e+001	2.82723000e+001	-1.47072503e+000	7.00182652e-001	-2.17090768e+000	1.27949474e+001	1.11105639e-002	1.27838369e+001	3.20472000e+002	1.02194000e+000	7.07199049e+001	-5.53968694e+002	-1.68587230e+002	1.88448173e+003	-7.05919169e+001	5.53604466e+002	1.68635452e+002	-1.88483469e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-1.27988007e-001	3.64227935e-001	-4.82217298e-002	3.52959606e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.41681642e+001	-6.21172678e-001
