%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.109273e-003	-1.642916e-002	-1.116051e-003	2.255231e-002	3.410000e-002	2.886800e-002	2.135800e-002	0.000000e+000	6.346800e-002	6.952712e-310	3.531000e-003	0.000000e+000	5.297628e-002	1.887628e-002	-0.000000e+000	1.401823e-010	1.401823e-010	0.000000e+000	-0.000000e+000	-9.759852e-002	-3.308073e-003	-3.308073e-003	0.000000e+000	-1.000923e+001	-2.657990e-003	-1.000657e+001	3.708652e+001	2.923580e-001	-3.308073e-003	-3.308073e-003	0.000000e+000	1.000392e+001	-2.657990e-003	1.000657e+001	3.195850e+002	1.392620e+000	3.194009e+001	-4.524084e+002	-6.902661e+001	1.516462e+003	-3.604844e+001	4.586481e+002	6.932566e+001	-1.525112e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	4.108357e+000	-6.239752e+000	-2.990541e-001	8.650433e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.589834e+001	-9.919891e-006
3.70370370e-005	2.77777778e-003	1.00000000e+000	4.10842018e-008	-6.08487255e-007	-4.13352379e-008	8.35270893e-007	1.96577237e-003	-2.12375459e-002	-2.56650829e-003	2.87326601e-002	3.41000000e-002	2.88664302e-002	2.13564302e-002	0.00000000e+000	6.34660000e-002	-1.56980645e-006	3.53300000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-8.65761557e-002	-8.84991084e-009	8.42601545e-010	-9.69251239e-009	3.34409866e-005	-9.89634360e-002	1.82632041e-001	-8.97137227e-003	1.91603414e-001	-1.01492112e+001	4.23408472e-004	-1.01496346e+001	3.70865201e+001	3.43651000e-001	-2.00574786e-001	-8.97137227e-003	-1.91603414e-001	1.01500580e+001	4.23408472e-004	1.01496346e+001	3.19732000e+002	1.17537000e+000	3.34562601e+001	-4.52807907e+002	-7.23058981e+001	1.51739794e+003	-3.28614304e+001	4.55263631e+002	7.37080585e+001	-1.52296353e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-5.94829663e-001	-2.45572343e+000	-1.40216039e+000	5.56558911e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.69040048e+001	5.80863013e-004
7.40740741e-005	5.55555556e-003	2.00000000e+000	1.13890586e-007	-1.39506303e-006	-1.36391100e-007	1.89944349e-006	2.41245173e-003	-2.32537355e-002	-3.27082826e-003	3.13080131e-002	3.41000000e-002	2.88617212e-002	2.13517212e-002	0.00000000e+000	6.34610000e-002	-6.27880884e-006	3.53800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-1.73127701e-001	-2.50300978e-008	2.78665594e-009	-2.78167537e-008	1.35230576e-004	-1.00300393e-001	3.69325202e-001	-1.90993794e-002	3.88424581e-001	-1.02863231e+001	2.97165057e-003	-1.02892947e+001	3.70896334e+001	9.33114000e-001	-4.07523960e-001	-1.90993794e-002	-3.88424581e-001	1.02922664e+001	2.97165057e-003	1.02892947e+001	3.19865000e+002	1.09377000e+000	3.51444494e+001	-4.57582650e+002	-7.59613741e+001	1.52789939e+003	-3.50574254e+001	4.57777066e+002	7.60613343e+001	-1.52899384e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-8.70239819e-002	-1.94416269e-001	-9.99601915e-002	1.09445444e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.89694155e+001	1.67416312e-004
1.11111111e-004	8.33333333e-003	3.00000000e+000	2.03240650e-007	-2.25631249e-006	-2.57532888e-007	3.05899953e-006	2.61836396e-003	-2.37947634e-002	-3.57490611e-003	3.20067203e-002	3.41000000e-002	2.88538742e-002	2.13438742e-002	0.00000000e+000	6.34530000e-002	-1.41257564e-005	3.54600000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-2.59630030e-001	-4.73435553e-008	5.86014662e-009	-5.32037019e-008	3.17493071e-004	-1.01528641e-001	5.78212263e-001	-1.14903258e-002	5.89702589e-001	-1.04122862e+001	4.25588731e-003	-1.04165421e+001	3.72552021e+001	2.69017000e+000	-6.01192915e-001	-1.14903258e-002	-5.89702589e-001	1.04207980e+001	4.25588731e-003	1.04165421e+001	3.19987000e+002	1.06486000e+000	3.76526766e+001	-4.71997803e+002	-8.13945863e+001	1.55935264e+003	-3.76124669e+001	4.71868051e+002	8.12668811e+001	-1.55956744e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-4.02097021e-002	1.29751186e-001	1.27705112e-001	2.14801533e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.20446939e+001	-8.00186568e-003
1.48148148e-004	1.11111111e-002	4.00000000e+000	3.00217093e-007	-3.13760002e-006	-3.89936818e-007	4.24443361e-006	2.69507197e-003	-2.36053838e-002	-3.67379691e-003	3.17851529e-002	3.41000000e-002	2.88428914e-002	2.13328914e-002	0.00000000e+000	6.34420000e-002	-2.51085648e-005	3.55700000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-3.46058549e-001	-7.46243709e-008	1.01526559e-008	-8.47770268e-008	6.15408190e-004	-1.02642644e-001	8.40876012e-001	4.62220622e-002	7.94653950e-001	-1.05265329e+001	4.57167495e-003	-1.05311046e+001	3.74906978e+001	5.17594000e+000	-7.48431888e-001	4.62220622e-002	-7.94653950e-001	1.05356763e+001	4.57167495e-003	1.05311046e+001	3.20100000e+002	1.05081000e+000	4.11542060e+001	-4.92342461e+002	-8.89818397e+001	1.60374861e+003	-4.12103329e+001	4.92308920e+002	8.90524215e+001	-1.60382419e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	5.61268198e-002	3.35408026e-002	-7.05818462e-002	7.55813521e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.58321064e+001	-3.11626895e-002
1.85185185e-004	1.38888889e-002	5.00000000e+000	4.00034573e-007	-4.01187350e-006	-5.26003370e-007	5.42166150e-006	2.70221655e-003	-2.30839685e-002	-3.67759920e-003	3.11650356e-002	3.41000000e-002	2.88287757e-002	2.13187757e-002	0.00000000e+000	6.34280000e-002	-3.92243162e-005	3.57100000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-4.32388679e-001	-1.06779531e-007	1.47905530e-008	-1.21570084e-007	1.03089436e-003	-1.03671899e-001	1.12738270e+000	1.24567630e-001	1.00281507e+000	-1.06320883e+001	4.24647832e-003	-1.06363348e+001	3.78015781e+001	8.43369000e+000	-8.78247438e-001	1.24567630e-001	-1.00281507e+000	1.06405813e+001	4.24647832e-003	1.06363348e+001	3.20203000e+002	1.04139000e+000	4.59996811e+001	-5.18917702e+002	-9.94840349e+001	1.66175373e+003	-4.59966070e+001	5.18713743e+002	9.96114345e+001	-1.66199441e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-3.07410687e-003	2.03958982e-001	-1.27399622e-001	2.40686043e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.00857741e+001	-7.93765933e-002
2.22222222e-004	1.66666667e-002	6.00000000e+000	5.00116668e-007	-4.86683530e-006	-6.62210748e-007	6.57592208e-006	2.67575534e-003	-2.24633056e-002	-3.64610274e-003	3.04119037e-002	3.41000000e-002	2.88115307e-002	2.13015307e-002	0.00000000e+000	6.34110000e-002	-5.64692598e-005	3.58800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-5.18595864e-001	-1.43531603e-007	1.92001454e-008	-1.62731749e-007	1.56223413e-003	-1.04641761e-001	1.42450759e+000	2.10558980e-001	1.21394861e+000	-1.07315527e+001	3.80982748e-003	-1.07353625e+001	3.81683255e+001	1.22427000e+001	-1.00338963e+000	2.10558980e-001	-1.21394861e+000	1.07391724e+001	3.80982748e-003	1.07353625e+001	3.20289000e+002	1.03475000e+000	5.23094787e+001	-5.49812015e+002	-1.13165581e+002	1.72925287e+003	-5.25423195e+001	5.49675846e+002	1.13091457e+002	-1.72950844e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	2.32840862e-001	1.36168770e-001	7.41239421e-002	2.55563278e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.46150901e+001	-1.61368276e-001
2.59259259e-004	1.94444444e-002	7.00000000e+000	5.99218717e-007	-5.69880958e-006	-7.97251590e-007	7.70228888e-006	2.66656359e-003	-2.19378265e-002	-3.65067655e-003	2.97923284e-002	3.41000000e-002	2.87911612e-002	2.12811612e-002	0.00000000e+000	6.33910000e-002	-7.68388127e-005	3.60800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-6.04655572e-001	-1.81886942e-007	2.56343126e-008	-2.07521255e-007	2.29394159e-003	-1.05588424e-001	1.79407707e+000	3.65929736e-001	1.42814733e+000	-1.08286380e+001	3.40605465e-003	-1.08320440e+001	3.86208604e+001	1.68927000e+001	-1.06221759e+000	3.65929736e-001	-1.42814733e+000	1.08354501e+001	3.40605465e-003	1.08320440e+001	3.20365000e+002	1.02966000e+000	6.06386114e+001	-5.87381276e+002	-1.31232878e+002	1.81136485e+003	-6.05425312e+001	5.87109244e+002	1.31318751e+002	-1.81166575e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-9.60802289e-002	2.72032008e-001	-8.58732556e-002	3.00900992e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.95768655e+001	-2.89067460e-001
2.96296296e-004	2.22222222e-002	8.00000000e+000	6.97980331e-007	-6.51132167e-006	-9.32461833e-007	8.80570845e-006	2.69670497e-003	-2.15233802e-002	-3.70621912e-003	2.93074437e-002	3.41000000e-002	2.87676724e-002	2.12576724e-002	0.00000000e+000	6.33670000e-002	-1.00327560e-004	3.63200000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-6.90543307e-001	-2.22901440e-007	3.23935335e-008	-2.55294973e-007	3.18868124e-003	-1.06542709e-001	2.18378065e+000	5.38187860e-001	1.64559279e+000	-1.09265048e+001	2.40692945e-003	-1.09289117e+001	3.91424768e+001	2.21856000e+001	-1.10740493e+000	5.38187860e-001	-1.64559279e+000	1.09313187e+001	2.40692945e-003	1.09289117e+001	3.20426000e+002	1.02552000e+000	7.10918538e+001	-6.29829589e+002	-1.53923446e+002	1.90427488e+003	-7.09925622e+001	6.29681413e+002	1.53971595e+002	-1.90457855e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-9.92916162e-002	1.48176508e-001	-4.81489997e-002	3.03669059e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.48165794e+001	-4.72230075e-001
3.33333333e-004	2.50000000e-002	9.00000000e+000	7.97858293e-007	-7.30848390e-006	-1.06972921e-006	9.89116933e-006	2.76658442e-003	-2.12313556e-002	-3.82449582e-003	2.89742324e-002	3.41000000e-002	2.87410707e-002	2.12310707e-002	0.00000000e+000	6.33410000e-002	-1.26929255e-004	3.65800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-7.76234607e-001	-2.64576771e-007	4.09183258e-008	-3.05495097e-007	4.30919791e-003	-1.07520744e-001	2.62553136e+000	7.58961384e-001	1.86656997e+000	-1.10268073e+001	1.19222455e-003	-1.10279995e+001	3.97510133e+001	2.82723000e+001	-1.10760859e+000	7.58961384e-001	-1.86656997e+000	1.10291917e+001	1.19222455e-003	1.10279995e+001	3.20472000e+002	1.02194000e+000	8.41510704e+001	-6.78382988e+002	-1.82285590e+002	2.01058302e+003	-8.41415241e+001	6.78105986e+002	1.82260180e+002	-2.01088827e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-9.54634540e-003	2.77001316e-001	2.54106235e-002	3.05248057e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	8.03703060e+001	-7.21561707e-001
