%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.063617e-003	-1.635557e-002	-1.093164e-003	2.248049e-002	3.410000e-002	2.886800e-002	2.135800e-002	0.000000e+000	6.346800e-002	6.952711e-310	3.531000e-003	0.000000e+000	5.297628e-002	1.887628e-002	-0.000000e+000	1.477948e-010	1.477948e-010	0.000000e+000	-0.000000e+000	-9.785969e-002	-3.366045e-003	-3.366045e-003	0.000000e+000	-1.003602e+001	-2.859280e-003	-1.003316e+001	3.708652e+001	2.923580e-001	-3.366045e-003	-3.366045e-003	0.000000e+000	1.003030e+001	-2.859280e-003	1.003316e+001	3.195850e+002	1.392620e+000	3.194009e+001	-4.524083e+002	-6.902661e+001	1.516462e+003	-3.983404e+001	4.571948e+002	6.739445e+001	-1.525788e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	7.893954e+000	-4.786458e+000	1.632156e+000	9.326529e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.602145e+001	-1.045858e-005
3.70370370e-005	2.77777778e-003	1.00000000e+000	3.93932379e-008	-6.05762015e-007	-4.04875527e-008	8.32610727e-007	1.62475597e-003	-1.93267309e-002	-2.10218373e-003	2.63814280e-002	3.41000000e-002	2.88664302e-002	2.13564302e-002	0.00000000e+000	6.34660000e-002	-1.56980645e-006	3.53300000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-8.65761557e-002	-8.71567187e-009	9.68687252e-010	-9.68435912e-009	3.36383111e-005	-9.93918202e-002	1.83709694e-001	-8.71762008e-003	1.92427314e-001	-1.01931442e+001	1.34155444e-004	-1.01932784e+001	3.70865201e+001	3.43651000e-001	-2.01144934e-001	-8.71762008e-003	-1.92427314e-001	1.01934125e+001	1.34155444e-004	1.01932784e+001	3.19732000e+002	1.17537000e+000	3.34562655e+001	-4.52808219e+002	-7.23059099e+001	1.51739862e+003	-3.31270817e+001	4.53523748e+002	7.31884840e+001	-1.52013934e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-3.29183838e-001	-7.15529025e-001	-8.82574128e-001	2.74072559e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.72249770e+001	5.72052252e-004
7.40740741e-005	5.55555556e-003	2.00000000e+000	9.95693849e-008	-1.32156686e-006	-1.18346209e-007	1.80970065e-006	1.84241189e-003	-1.99941390e-002	-2.44592308e-003	2.72412279e-002	3.41000000e-002	2.88617212e-002	2.13517212e-002	0.00000000e+000	6.34610000e-002	-6.27880884e-006	3.53800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-1.73127701e-001	-2.50300133e-008	2.76184451e-009	-2.77918578e-008	1.36037049e-004	-1.00740613e-001	3.71527742e-001	-1.85951602e-002	3.90122903e-001	-1.03314699e+001	2.81308302e-003	-1.03342830e+001	3.70896334e+001	9.33114000e-001	-4.08718063e-001	-1.85951602e-002	-3.90122903e-001	1.03370960e+001	2.81308302e-003	1.03342830e+001	3.19865000e+002	1.09377000e+000	3.51444716e+001	-4.57583286e+002	-7.59614221e+001	1.52790076e+003	-3.51939229e+001	4.57415595e+002	7.59222542e+001	-1.52822648e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.94512819e-002	1.67690758e-001	3.91679117e-002	3.25722714e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.94415814e+001	1.67415747e-004
1.11111111e-004	8.33333333e-003	3.00000000e+000	1.67806862e-007	-2.06209053e-006	-2.08935953e-007	2.81863502e-006	1.89755070e-003	-1.98446693e-002	-2.52388473e-003	2.70539589e-002	3.41000000e-002	2.88538742e-002	2.13438742e-002	0.00000000e+000	6.34530000e-002	-1.41257564e-005	3.54600000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-2.59630030e-001	-4.76369821e-008	5.50379887e-009	-5.31407810e-008	3.24620278e-004	-1.01924449e-001	5.91192195e-001	-8.60876572e-004	5.92053072e-001	-1.04528784e+001	5.18282047e-003	-1.04580612e+001	3.72552021e+001	2.69017000e+000	-5.92913948e-001	-8.60876572e-004	-5.92053072e-001	1.04632440e+001	5.18282047e-003	1.04580612e+001	3.19987000e+002	1.06486000e+000	3.76528728e+001	-4.72001546e+002	-8.13950104e+001	1.55936073e+003	-3.76594493e+001	4.71784025e+002	8.13857628e+001	-1.55968259e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	6.57650974e-003	2.17521499e-001	9.24758661e-003	3.21860018e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.24748408e+001	-8.05145981e-003
1.48148148e-004	1.11111111e-002	4.00000000e+000	2.38086518e-007	-2.79707828e-006	-3.02413165e-007	3.82063350e-006	1.85930766e-003	-1.93026715e-002	-2.45984521e-003	2.63559813e-002	3.41000000e-002	2.88428914e-002	2.13328914e-002	0.00000000e+000	6.34420000e-002	-2.51085648e-005	3.55700000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-3.46058549e-001	-7.57673605e-008	8.87519402e-009	-8.46425545e-008	6.22959037e-004	-1.02979083e-001	8.51193272e-001	5.37772830e-002	7.97415989e-001	-1.05610365e+001	6.67186944e-003	-1.05677084e+001	3.74906978e+001	5.17594000e+000	-7.43638706e-001	5.37772830e-002	-7.97415989e-001	1.05743802e+001	6.67186944e-003	1.05677084e+001	3.20100000e+002	1.05081000e+000	4.11544138e+001	-4.92345432e+002	-8.89822890e+001	1.60375504e+003	-4.13705395e+001	4.91999737e+002	8.89850838e+001	-1.60418736e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	2.16125646e-001	3.45694546e-001	-2.79488075e-003	4.32327860e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.59510447e+001	-3.16399951e-002
1.85185185e-004	1.38888889e-002	5.00000000e+000	3.06949765e-007	-3.51199204e-006	-3.93518543e-007	4.79678095e-006	1.78242399e-003	-1.86900019e-002	-2.35448910e-003	2.55733163e-002	3.41000000e-002	2.88287757e-002	2.13187757e-002	0.00000000e+000	6.34280000e-002	-3.92243162e-005	3.57100000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-4.32388679e-001	-1.09282068e-007	1.20459182e-008	-1.21327987e-007	1.02631610e-003	-1.03946722e-001	1.12237593e+000	1.16540831e-001	1.00583510e+000	-1.06602729e+001	8.09375042e-003	-1.06683667e+001	3.78015781e+001	8.43369000e+000	-8.89294265e-001	1.16540831e-001	-1.00583510e+000	1.06764604e+001	8.09375042e-003	1.06683667e+001	3.20203000e+002	1.04139000e+000	4.59995552e+001	-5.18916263e+002	-9.94837625e+001	1.66175062e+003	-4.59285494e+001	5.18682973e+002	9.95572248e+001	-1.66221000e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-7.10057847e-002	2.33289948e-001	-7.34622940e-002	4.59384362e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.96422638e+001	-8.12369019e-002
2.22222222e-004	1.66666667e-002	6.00000000e+000	3.72965468e-007	-4.20421434e-006	-4.80721843e-007	5.74394081e-006	1.71573181e-003	-1.81263571e-002	-2.26628637e-003	2.48446474e-002	3.41000000e-002	2.88115307e-002	2.13015307e-002	0.00000000e+000	6.34110000e-002	-5.64692598e-005	3.58800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-5.18595864e-001	-1.45848152e-007	1.65026454e-008	-1.62350797e-007	1.58861233e-003	-1.04864675e-001	1.44856029e+000	2.31369950e-001	1.21719034e+000	-1.07544137e+001	9.61660454e-003	-1.07640303e+001	3.81683255e+001	1.22427000e+001	-9.85820387e-001	2.31369950e-001	-1.21719034e+000	1.07736469e+001	9.61660454e-003	1.07640303e+001	3.20289000e+002	1.03475000e+000	5.23102038e+001	-5.49818914e+002	-1.13167150e+002	1.72926780e+003	-5.24829907e+001	5.49658692e+002	1.13147037e+002	-1.72965372e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	1.72786951e-001	1.60221333e-001	2.01130105e-002	3.85915680e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.35795561e+001	-1.63972702e-001
2.59259259e-004	1.94444444e-002	7.00000000e+000	4.36511091e-007	-4.87556090e-006	-5.64658375e-007	6.66411294e-006	1.68781883e-003	-1.77095673e-002	-2.23288754e-003	2.43095569e-002	3.41000000e-002	2.87911612e-002	2.12811612e-002	0.00000000e+000	6.33910000e-002	-7.68388127e-005	3.60800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-6.04655572e-001	-1.85176946e-007	2.17975806e-008	-2.06974527e-007	2.30959895e-003	-1.05771246e-001	1.80632259e+000	3.74699051e-001	1.43162354e+000	-1.08473873e+001	1.10226690e-002	-1.08584100e+001	3.86208604e+001	1.68927000e+001	-1.05692449e+000	3.74699051e-001	-1.43162354e+000	1.08694326e+001	1.10226690e-002	1.08584100e+001	3.20365000e+002	1.02966000e+000	6.06390416e+001	-5.87384779e+002	-1.31233808e+002	1.81137243e+003	-6.09395971e+001	5.87150268e+002	1.31100727e+002	-1.81169128e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	3.00555531e-001	2.34510685e-001	1.33081626e-001	3.18850702e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.77135589e+001	-2.94296165e-001
2.96296296e-004	2.22222222e-002	8.00000000e+000	4.99022899e-007	-5.53147079e-006	-6.47357914e-007	7.56446690e-006	1.68213072e-003	-1.73932085e-002	-2.24824848e-003	2.38879173e-002	3.41000000e-002	2.87676724e-002	2.12576724e-002	0.00000000e+000	6.33670000e-002	-1.00327560e-004	3.63200000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-6.90543307e-001	-2.26321008e-007	2.82504579e-008	-2.54571466e-007	3.21018757e-003	-1.06687557e-001	2.19850934e+000	5.49101590e-001	1.64940775e+000	-1.09413597e+001	1.28884402e-002	-1.09542481e+001	3.91424768e+001	2.21856000e+001	-1.10030616e+000	5.49101590e-001	-1.64940775e+000	1.09671366e+001	1.28884402e-002	1.09542481e+001	3.20426000e+002	1.02552000e+000	7.10924442e+001	-6.29833789e+002	-1.53924724e+002	1.90428397e+003	-7.08796533e+001	6.29501150e+002	1.54007716e+002	-1.90463619e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-2.12790838e-001	3.32639020e-001	-8.29915170e-002	3.52217636e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.22367455e+001	-4.79474636e-001
3.33333333e-004	2.50000000e-002	9.00000000e+000	5.61324037e-007	-6.17566370e-006	-7.30626376e-007	8.44920458e-006	1.70667543e-003	-1.72153012e-002	-2.31869161e-003	2.36418938e-002	3.41000000e-002	2.87410707e-002	2.12310707e-002	0.00000000e+000	6.33410000e-002	-1.26929255e-004	3.65800000e-003	0.00000000e+000	5.29762776e-002	1.88762776e-002	-7.76234607e-001	-2.67105480e-007	3.74955968e-008	-3.04601077e-007	4.35527754e-003	-1.07636469e-001	2.65360701e+000	7.82647746e-001	1.87095926e+000	-1.10386755e+001	1.52566576e-002	-1.10539321e+001	3.97510133e+001	2.82723000e+001	-1.08831152e+000	7.82647746e-001	-1.87095926e+000	1.10691888e+001	1.52566576e-002	1.10539321e+001	3.20472000e+002	1.02194000e+000	8.41523341e+001	-6.78390966e+002	-1.82288328e+002	2.01060031e+003	-8.41070445e+001	6.78029081e+002	1.82205376e+002	-2.01097658e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-4.52895910e-002	3.61885097e-001	8.29515894e-002	3.76270725e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.72866470e+001	-7.28458078e-001
