%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.248725e-003	-2.932778e-002	-1.651257e-003	3.841476e-002	2.610000e-002	2.426800e-002	2.675800e-002	0.000000e+000	5.086800e-002	6.952726e-310	6.131000e-003	0.000000e+000	4.037628e-002	1.427628e-002	-0.000000e+000	1.847276e-010	1.847276e-010	0.000000e+000	-0.000000e+000	-7.494623e-002	-3.137651e-003	-3.137651e-003	0.000000e+000	-7.686123e+000	-2.263571e-003	-7.683859e+000	3.708652e+001	2.946400e-001	-3.137651e-003	-3.137651e-003	0.000000e+000	7.681596e+000	-2.263571e-003	7.683859e+000	3.269030e+002	1.451250e+000	3.519383e+001	-5.338287e+002	-7.228035e+001	1.482446e+003	-4.358428e+001	5.365772e+002	7.193894e+001	-1.502239e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	8.390453e+000	-2.748497e+000	3.414113e-001	1.979305e+001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.524731e+001	-1.302994e-005
7.40740741e-005	5.55555556e-003	2.00000000e+000	9.24981718e-008	-2.17242836e-006	-1.22315328e-007	2.84553797e-006	1.49386219e-003	-3.01895547e-002	-2.19276641e-003	3.99867488e-002	2.61000000e-002	2.42617212e-002	2.67517212e-002	0.00000000e+000	5.08610000e-002	-6.27880884e-006	6.13800000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-1.73127701e-001	-1.78036517e-008	1.69312582e-009	-1.94967776e-008	1.07227560e-004	-7.70901406e-002	2.92846791e-001	-5.56230425e-003	2.98409095e-001	-7.90599185e+000	-1.19055682e-003	-7.90480129e+000	3.70893198e+001	9.29778000e-001	-3.03971399e-001	-5.56230425e-003	-2.98409095e-001	7.90361074e+000	-1.19055682e-003	7.90480129e+000	3.27173000e+002	1.09559000e+000	3.83375763e+001	-5.39450735e+002	-7.87483327e+001	1.49426205e+003	-3.79284572e+001	5.39641392e+002	7.86512264e+001	-1.49517429e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-4.09119066e-001	-1.90656964e-001	9.71062932e-002	9.12241621e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	3.77454232e+001	1.25020803e-004
1.48148148e-004	1.11111111e-002	4.00000000e+000	2.03154630e-007	-4.40869168e-006	-2.84742469e-007	5.80751936e-006	1.39860161e-003	-2.80618564e-002	-2.06385103e-003	3.75152347e-002	2.61000000e-002	2.42428914e-002	2.67328914e-002	0.00000000e+000	5.08420000e-002	-2.51085648e-005	6.15700000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-3.46058549e-001	-5.30128011e-008	3.13961226e-009	-5.61524134e-008	4.71314240e-004	-7.89502146e-002	6.43990192e-001	3.29387467e-002	6.11051446e-001	-8.09675203e+000	1.17122006e-003	-8.09792325e+000	3.74886518e+001	5.15441000e+000	-5.78112699e-001	3.29387467e-002	-6.11051446e-001	8.09909447e+000	1.17122006e-003	8.09792325e+000	3.27405000e+002	1.04343000e+000	4.45546860e+001	-5.77534269e+002	-9.15548197e+001	1.57325261e+003	-4.51174493e+001	5.79029123e+002	9.23326770e+001	-1.57472955e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	5.62763252e-001	-1.49485457e+000	-7.77857339e-001	1.47693582e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.25934942e+001	-2.20236911e-002
2.22222222e-004	1.66666667e-002	6.00000000e+000	3.06754749e-007	-6.48734771e-006	-4.37620323e-007	8.58642563e-006	1.20936264e-003	-2.57906428e-002	-1.80659209e-003	3.46304089e-002	2.61000000e-002	2.42115307e-002	2.67015307e-002	0.00000000e+000	5.08110000e-002	-5.64692598e-005	6.18800000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-5.18595864e-001	-1.03476026e-007	4.05522000e-009	-1.07531246e-007	1.17939176e-003	-8.06557119e-002	1.07541660e+000	1.39335331e-001	9.36081267e-001	-8.27165959e+000	6.42708092e-003	-8.27808667e+000	3.81713732e+001	1.22742000e+001	-7.96745936e-001	1.39335331e-001	-9.36081267e-001	8.28451375e+000	6.42708092e-003	8.27808667e+000	3.27591000e+002	1.02697000e+000	5.64975680e+001	-6.41259638e+002	-1.16170852e+002	1.70553447e+003	-5.65712451e+001	6.42786228e+002	1.17444757e+002	-1.70820120e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	7.36771101e-002	-1.52658977e+000	-1.27390468e+000	2.66672893e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	4.89751171e+001	-1.16660941e-001
2.96296296e-004	2.22222222e-002	8.00000000e+000	3.96337167e-007	-8.39776569e-006	-5.71441960e-007	1.11516411e-005	1.09749850e-003	-2.45034975e-002	-1.66038101e-003	3.24299068e-002	2.61000000e-002	2.41676724e-002	2.66576724e-002	0.00000000e+000	5.07670000e-002	-1.00327560e-004	6.23200000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-6.90543307e-001	-1.64281844e-007	7.11752346e-009	-1.71399367e-007	2.36922401e-003	-8.23444732e-002	1.62257220e+000	3.48405695e-001	1.27416651e+000	-8.44485078e+000	1.72993909e-002	-8.46215017e+000	3.91427249e+001	2.21881000e+001	-9.25760812e-001	3.48405695e-001	-1.27416651e+000	8.47944956e+000	1.72993909e-002	8.46215017e+000	3.27723000e+002	1.01794000e+000	7.67494370e+001	-7.28997888e+002	-1.57957541e+002	1.88800643e+003	-7.72708241e+001	7.29331176e+002	1.58575366e+002	-1.89034908e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	5.21387112e-001	-3.33288346e-001	-6.17824902e-001	2.34265478e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.65447222e+001	-3.48082014e-001
3.70370370e-004	2.77777778e-002	1.00000000e+001	4.77633352e-007	-1.02128396e-005	-6.94433145e-007	1.35538564e-005	1.29033911e-003	-2.39284904e-002	-1.83721721e-003	3.08535011e-002	2.61000000e-002	2.41113632e-002	2.66013632e-002	0.00000000e+000	5.07110000e-002	-1.56636823e-004	6.28800000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-8.61705056e-001	-2.30565430e-007	1.52868759e-008	-2.45852306e-007	4.18652930e-003	-8.42114536e-002	2.29793169e+000	6.69552333e-001	1.62837936e+000	-8.63631926e+000	3.01542048e-002	-8.66647346e+000	4.04231022e+001	3.48876000e+001	-9.58827028e-001	6.69552333e-001	-1.62837936e+000	8.69662767e+000	3.01542048e-002	8.66647346e+000	3.27796000e+002	1.00989000e+000	1.07857637e+002	-8.39794985e+002	-2.22240812e+002	2.11894121e+003	-1.08342888e+002	8.39644617e+002	2.22051809e+002	-2.12038381e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.85250855e-001	1.50367363e-001	1.89002814e-001	1.44259602e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	6.58324805e+001	-7.81330907e-001
4.44444444e-004	3.33333333e-002	1.20000000e+001	5.73214027e-007	-1.19853203e-005	-8.30523309e-007	1.58393010e-005	1.75383059e-003	-2.37089760e-002	-2.38328007e-003	2.97269556e-002	2.61000000e-002	2.40426629e-002	2.65326629e-002	0.00000000e+000	5.06420000e-002	-2.25337127e-004	6.35700000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-1.03188597e+000	-2.97838208e-007	3.14142111e-008	-3.29252419e-007	6.83646787e-003	-8.63262869e-002	3.13405113e+000	1.13117070e+000	2.00288042e+000	-8.85320633e+000	4.84080291e-002	-8.90161436e+000	4.20639790e+001	5.05886000e+001	-8.71709719e-001	1.13117070e+000	-2.00288042e+000	8.95002239e+000	4.84080291e-002	8.90161436e+000	3.27805000e+002	1.00215000e+000	1.52712735e+002	-9.74377795e+002	-3.15120134e+002	2.40024689e+003	-1.53160551e+002	9.75497431e+002	3.15198304e+002	-2.40042085e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.47816189e-001	-1.11963616e+000	-7.81692673e-002	1.73960636e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	7.79441678e+001	-1.47693797e+000
5.18518519e-004	3.88888889e-002	1.40000000e+001	7.03127404e-007	-1.37415408e-005	-1.00706257e-006	1.80412977e-005	2.43556117e-003	-2.36585877e-002	-3.23154052e-003	2.88503757e-002	2.61000000e-002	2.39616447e-002	2.64516447e-002	0.00000000e+000	5.05610000e-002	-3.06355302e-004	6.43800000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-1.20089179e+000	-3.63469381e-007	5.67449871e-008	-4.20214368e-007	1.05073680e-002	-8.87459267e-002	4.13972960e+000	1.73684298e+000	2.40288662e+000	-9.10135288e+000	7.51006208e-002	-9.17645350e+000	4.40828252e+001	6.90887000e+001	-6.66043637e-001	1.73684298e+000	-2.40288662e+000	9.25155412e+000	7.51006208e-002	9.17645350e+000	3.27742000e+002	9.98299000e-001	2.13399202e+002	-1.12952903e+003	-4.41097137e+002	2.72566683e+003	-2.13326262e+002	1.12909106e+003	4.41069523e+002	-2.72602318e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-7.29397253e-002	4.37977234e-001	2.76137513e-002	3.56355193e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	9.36591980e+001	-2.47481576e+000
5.92592593e-004	4.44444444e-002	1.60000000e+001	8.83539342e-007	-1.54940288e-005	-1.24643595e-006	2.01783625e-005	3.34737285e-003	-2.37701415e-002	-4.38373980e-003	2.82260559e-002	2.61000000e-002	2.38683950e-002	2.63583950e-002	0.00000000e+000	5.04680000e-002	-3.99604972e-004	6.53100000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-1.36852925e+000	-4.24839692e-007	9.27187467e-008	-5.17558439e-007	1.54154377e-002	-9.15064788e-002	5.33053743e+000	2.49590358e+000	2.83463385e+000	-9.38446174e+000	1.14767067e-001	-9.49922881e+000	4.65442121e+001	9.05333000e+001	-3.38730272e-001	2.49590358e+000	-2.83463385e+000	9.61399587e+000	1.14767067e-001	9.49922881e+000	3.27602000e+002	9.96103000e-001	2.92524619e+002	-1.30487907e+003	-6.05840959e+002	3.09492186e+003	-2.92871740e+002	1.30583981e+003	6.05744658e+002	-3.09468807e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	3.47121085e-001	-9.60737083e-001	9.63007754e-002	-2.33785181e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.13074592e+002	-3.80372996e+000
6.66666667e-004	5.00000000e-002	1.80000000e+001	1.13149289e-006	-1.72547800e-005	-1.57115741e-006	2.22691815e-005	4.53112329e-003	-2.40872590e-002	-5.92051547e-003	2.79355077e-002	2.61000000e-002	2.37630134e-002	2.62530134e-002	0.00000000e+000	5.03630000e-002	-5.04986608e-004	6.63600000e-003	0.00000000e+000	4.03762776e-002	1.42762776e-002	-1.53460633e+000	-4.74953573e-007	1.45362211e-007	-6.20315784e-007	2.20512625e-002	-9.47126972e-002	6.80149378e+000	3.49325721e+000	3.30823658e+000	-9.71327599e+000	1.73280186e-001	-9.88655618e+000	4.97612034e+001	1.16916000e+002	1.85020629e-001	3.49325721e+000	-3.30823658e+000	1.00598364e+001	1.73280186e-001	9.88655618e+000	3.27328000e+002	9.95443000e-001	3.98115403e+002	-1.51571649e+003	-8.26372915e+002	3.54030616e+003	-3.98480477e+002	1.51705377e+003	8.26044576e+002	-3.53994124e+003	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	3.65074475e-001	-1.33727778e+000	3.28339025e-001	-3.64920206e-001	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.37448440e+002	-5.50547184e+000
