F_holder1,F_holder2,F_holder3,F_holder_sum
386.08,386.08,386.08,1158.24
386.0903,386.0903,386.0903,1158.2709
386.1213,386.1213,386.1213,1158.3639
386.173,386.173,386.173,1158.519
386.2453,386.2453,386.2453,1158.7359
386.3382,386.3382,386.3382,1159.0146
386.4517,386.4517,386.4517,1159.3551
386.5857,386.5857,386.5857,1159.7570999999998
386.7403,386.7403,386.7403,1160.2209
386.9153,386.9153,386.9153,1160.7459
387.1108,387.1108,387.1108,1161.3324
387.3266,387.3266,387.3266,1161.9798
387.5626,387.5626,387.5626,1162.6878
387.8189,387.8189,387.8189,1163.4567
388.0954,388.0954,388.0954,1164.2862
388.3919,388.3919,388.3919,1165.1757
388.7083,388.7083,388.7083,1166.1249
389.0446,389.0446,389.0446,1167.1338
389.4007,389.4007,389.4007,1168.2021
389.7765,389.7765,389.7765,1169.3295
390.1717,390.1717,390.1717,1170.5151
390.5864,390.5864,390.5864,1171.7592
391.0204,391.0204,391.0204,1173.0612
391.4736,391.4736,391.4736,1174.4207999999999
391.9458,391.9458,391.9458,1175.8374000000001
392.4368,392.4368,392.4368,1177.3104
392.9466,392.9466,392.9466,1178.8398
393.475,393.475,393.475,1180.4250000000002
394.0218,394.0218,394.0218,1182.0654
394.5868,394.5868,394.5868,1183.7604
395.1699,395.1699,395.1699,1185.5097
395.7709,395.7709,395.7709,1187.3127
396.3896,396.3896,396.3896,1189.1688
397.0259,397.0259,397.0259,1191.0776999999998
397.6795,397.6795,397.6795,1193.0385
398.3502,398.3502,398.3502,1195.0506
399.0378,399.0378,399.0378,1197.1134
399.7422,399.7422,399.7422,1199.2266
400.4631,400.4631,400.4631,1201.3893
401.2002,401.2002,401.2002,1203.6006
401.9534,401.9534,401.9534,1205.8602
402.7225,402.7225,402.7225,1208.1675
403.5071,403.5071,403.5071,1210.5212999999999
404.3071,404.3071,404.3071,1212.9213
405.1222,405.1222,405.1222,1215.3666
405.9522,405.9522,405.9522,1217.8566
406.7968,406.7968,406.7968,1220.3904
407.6558,407.6558,407.6558,1222.9674
408.5288,408.5288,408.5288,1225.5864
409.4157,409.4157,409.4157,1228.2471
410.3162,410.3162,410.3162,1230.9486
411.2299,411.2299,411.2299,1233.6897
412.1566,412.1566,412.1566,1236.4698
413.0961,413.0961,413.0961,1239.2883
414.048,414.048,414.048,1242.144
415.012,415.012,415.012,1245.036
415.9879,415.9879,415.9879,1247.9637
416.9754,416.9754,416.9754,1250.9261999999999
417.9741,417.9741,417.9741,1253.9223000000002
418.9837,418.9837,418.9837,1256.9511
420.004,420.004,420.004,1260.0120000000002
421.0347,421.0347,421.0347,1263.1041
422.0753,422.0753,422.0753,1266.2259000000001
423.1257,423.1257,423.1257,1269.3771
424.1854,424.1854,424.1854,1272.5562
425.2542,425.2542,425.2542,1275.7626
426.3318,426.3318,426.3318,1278.9954
427.4177,427.4177,427.4177,1282.2531000000001
428.5117,428.5117,428.5117,1285.5351
429.6135,429.6135,429.6135,1288.8405
430.7227,430.7227,430.7227,1292.1680999999999
431.8389,431.8389,431.8389,1295.5167000000001
432.9619,432.9619,432.9619,1298.8857
434.0912,434.0912,434.0912,1302.2736
435.2266,435.2266,435.2266,1305.6798000000001
436.3677,436.3677,436.3677,1309.1031
437.5141,437.5141,437.5141,1312.5423
438.6656,438.6656,438.6656,1315.9968
439.8217,439.8217,439.8217,1319.4651000000001
440.982,440.982,440.982,1322.9460000000001
442.1464,442.1464,442.1464,1326.4392
443.3143,443.3143,443.3143,1329.9429
444.4854,444.4854,444.4854,1333.4562
445.6595,445.6595,445.6595,1336.9785
446.836,446.836,446.836,1340.508
448.0147,448.0147,448.0147,1344.0441
449.1952,449.1952,449.1952,1347.5855999999999
450.3772,450.3772,450.3772,1351.1316000000002
451.5602,451.5602,451.5602,1354.6806000000001
452.7439,452.7439,452.7439,1358.2317
453.9281,453.9281,453.9281,1361.7842999999998
455.1122,455.1122,455.1122,1365.3365999999999
456.2959,456.2959,456.2959,1368.8877
457.4789,457.4789,457.4789,1372.4367
458.6609,458.6609,458.6609,1375.9827
459.8414,459.8414,459.8414,1379.5242
461.0201,461.0201,461.0201,1383.0603
462.1967,462.1967,462.1967,1386.5901000000001
463.3707,463.3707,463.3707,1390.1121
464.5418,464.5418,464.5418,1393.6254000000001
465.7097,465.7097,465.7097,1397.1291
466.8741,466.8741,466.8741,1400.6223
468.0345,468.0345,468.0345,1404.1035
469.1905,469.1905,469.1905,1407.5715
470.342,470.342,470.342,1411.0259999999998
471.4884,471.4884,471.4884,1414.4652
472.6295,472.6295,472.6295,1417.8885
473.7649,473.7649,473.7649,1421.2947
474.8943,474.8943,474.8943,1424.6829
476.0172,476.0172,476.0172,1428.0516
477.1335,477.1335,477.1335,1431.4005000000002
478.2426,478.2426,478.2426,1434.7278
479.3444,479.3444,479.3444,1438.0332
480.4384,480.4384,480.4384,1441.3152
481.5243,481.5243,481.5243,1444.5729
482.6019,482.6019,482.6019,1447.8057
483.6707,483.6707,483.6707,1451.0121
484.7304,484.7304,484.7304,1454.1912
485.7808,485.7808,485.7808,1457.3424
486.8214,486.8214,486.8214,1460.4642
487.8521,487.8521,487.8521,1463.5563
488.8724,488.8724,488.8724,1466.6172000000001
489.882,489.882,489.882,1469.646
490.8808,490.8808,490.8808,1472.6424000000002
491.8682,491.8682,491.8682,1475.6046000000001
492.8441,492.8441,492.8441,1478.5323
493.8081,493.8081,493.8081,1481.4243000000001
494.76,494.76,494.76,1484.28
495.6995,495.6995,495.6995,1487.0985
496.6262,496.6262,496.6262,1489.8786
497.5399,497.5399,497.5399,1492.6197
498.4404,498.4404,498.4404,1495.3212
499.3273,499.3273,499.3273,1497.9819
500.2003,500.2003,500.2003,1500.6009000000001
501.0593,501.0593,501.0593,1503.1779000000001
501.9039,501.9039,501.9039,1505.7117
502.7339,502.7339,502.7339,1508.2017
503.549,503.549,503.549,1510.647
504.349,504.349,504.349,1513.047
505.1336,505.1336,505.1336,1515.4008
505.9027,505.9027,505.9027,1517.7080999999998
506.6559,506.6559,506.6559,1519.9677
507.3931,507.3931,507.3931,1522.1793
508.1139,508.1139,508.1139,1524.3417
508.8183,508.8183,508.8183,1526.4549000000002
509.5059,509.5059,509.5059,1528.5176999999999
510.1766,510.1766,510.1766,1530.5298
510.8302,510.8302,510.8302,1532.4906
511.4665,511.4665,511.4665,1534.3995
512.0852,512.0852,512.0852,1536.2556
512.6862,512.6862,512.6862,1538.0585999999998
513.2693,513.2693,513.2693,1539.8079000000002
513.8343,513.8343,513.8343,1541.5029
514.3811,514.3811,514.3811,1543.1432999999997
514.9095,514.9095,514.9095,1544.7285
515.4193,515.4193,515.4193,1546.2579
515.9103,515.9103,515.9103,1547.7309
516.3825,516.3825,516.3825,1549.1475
516.8357,516.8357,516.8357,1550.5070999999998
517.2697,517.2697,517.2697,1551.8091
517.6844,517.6844,517.6844,1553.0531999999998
518.0797,518.0797,518.0797,1554.2391
518.4554,518.4554,518.4554,1555.3662000000002
518.8115,518.8115,518.8115,1556.4345
519.1478,519.1478,519.1478,1557.4433999999999
519.4642,519.4642,519.4642,1558.3926000000001
519.7607,519.7607,519.7607,1559.2821000000001
520.0372,520.0372,520.0372,1560.1116
520.2935,520.2935,520.2935,1560.8805
520.5295,520.5295,520.5295,1561.5884999999998
520.7453,520.7453,520.7453,1562.2359000000001
520.9408,520.9408,520.9408,1562.8224
521.1158,521.1158,521.1158,1563.3474
521.2704,521.2704,521.2704,1563.8112
521.4044,521.4044,521.4044,1564.2132000000001
521.5179,521.5179,521.5179,1564.5537000000002
521.6108,521.6108,521.6108,1564.8324000000002
521.6831,521.6831,521.6831,1565.0493
521.7348,521.7348,521.7348,1565.2043999999999
521.7658,521.7658,521.7658,1565.2974
521.7761,521.7761,521.7761,1565.3283000000001
521.7658,521.7658,521.7658,1565.2974
521.7348,521.7348,521.7348,1565.2043999999999
521.6831,521.6831,521.6831,1565.0493
521.6108,521.6108,521.6108,1564.8324000000002
