Folder,BaseFolder,PumpType,Displacement,Speed,Beta,MaxBeta,HP,LP,dK,FlowTheo,Leakage,NetFlow,PowerTheo,PowerActual,PlossTotal,PlossFriction,PlossLeakage,VolEff,HmEff,GesEff
V60N_S4_dp_350_n_2000_d_100,Run_V60N,V60N Straight,110,2000.0,21.2,21.2,350.0,1.0,20.5,220.0,0.09275067245756162,219.90724932754244,127.96666666666667,124.30072305842077,3665.9436082459033,3740.2100936042643,-74.2664853583611,99.95784060342838,97.17620442503897,97.13523552364217
V60N_S4_dp_350_n_2500_d_100,Run_V60N,V60N Straight,110,2500.0,21.2,21.2,350.0,1.0,20.5,275.0,0.08757240141145903,274.9124275985885,159.95833333333334,154.6698147944651,5288.518538868222,5396.963071892073,-108.44453302385077,99.96815549039583,96.7246164072728,96.6938149275114
V60N_S4_dp_350_n_3000_d_100,Run_V60N,V60N Straight,110,3000.0,21.2,21.2,350.0,1.0,20.5,330.0,0.0846955503661559,329.9153044496338,191.95,184.72579635990004,7224.203640099933,7365.8310709260495,-141.6274308261159,99.97433468170722,96.26111955961181,96.23641383688464
V60N_S4_dp_350_n_3100_d_100,Run_V60N,V60N Straight,110,3100.0,21.2,21.2,350.0,1.0,20.5,341.0,0.08786793042159999,340.9121320695784,198.34833333333333,190.62846541601166,7719.867917321666,7867.2377494699995,-147.36983214833333,99.97423227846873,96.13269518540494,96.10792398020907
V60N_S4_dp_350_n_3200_d_100,Run_V60N,V60N Straight,110,3200.0,21.2,21.2,350.0,1.0,20.5,352.0,0.08778832006568,351.91221167993433,204.74666666666667,196.606137682128,8140.528984538666,8294.062395896666,-153.533411358,99.97506013634498,96.04805119335738,96.02409694034645
V60N_S4_dp_350_n_3300_d_100,Run_V60N,V60N Straight,110,3300.0,21.2,21.2,350.0,1.0,20.5,363.0,0.08371388207248501,362.91628611792754,211.145,202.6189446871719,8526.055312828115,8686.939676409062,-160.88436358094606,99.97693832449795,95.98412597470497,95.96199042703918
V60N_S4_dp_350_n_3400_d_100,Run_V60N,V60N Straight,110,3400.0,21.2,21.2,350.0,1.0,20.5,374.0,0.08752701000377999,373.9124729899962,217.54333333333332,208.45831228636098,9085.021046972333,9251.61328323,-166.59223625766666,99.97659705614872,95.84624170879064,95.82381086665997
V60N_S4_dp_350_n_3500_d_100,Run_V60N,V60N Straight,110,3500.0,21.2,21.2,350.0,1.0,20.5,385.0,0.08490113733284,384.91509886266715,223.94166666666666,215.32170219674867,8619.964469918,8794.006142196667,-174.04167227866665,99.97794775653692,96.17200726506798,96.15079917988257
V60N_S4_dp_350_n_3600_d_100,Run_V60N,V60N Straight,110,3600.0,21.2,21.2,350.0,1.0,20.5,396.0,0.08232144118240001,395.9176785588176,230.34,221.17131465984133,9168.685340158667,9350.073309383333,-181.38796922466668,99.97921175727717,96.03946420486875,96.01949928794015
V60N_S4_dp_350_n_3700_d_100,Run_V60N,V60N Straight,110,3700.0,21.2,21.2,350.0,1.0,20.5,407.0,0.07751284001364422,406.92248715998636,236.73833333333334,227.4288058584033,9309.527474930046,9497.454083544304,-187.92660861425716,99.98095507616372,96.08588712652467,96.06758764250401
V60N_S4_dp_350_n_3800_d_100,Run_V60N,V60N Straight,110,3800.0,21.2,21.2,350.0,1.0,20.5,418.0,0.07502466288347769,417.9249753371165,243.13666666666666,233.66354491847812,9473.12174818854,9667.960381212524,-194.83863302398402,99.98205151605659,96.12103954336939,96.1037872740207
