optimizer,iteration,total,mechanical,volumetric,dK,dZ,LKG,lF,zeta
BO,60,176.61492766,172.991306,3.62362166,19.487,19.502,54.8,36.7,5.0
BO,34,182.545531772,181.988628,0.556903772,19.489,19.502,54.0,35.1,5.0
BO,63,182.73401652,178.570533,4.16348352,19.487,19.502,48.5,36.1,5.0
BO,43,185.29730527,178.342623,6.95468227,19.486,19.502,54.3,37.2,5.0
BO,49,187.00441904000002,180.926106,6.07831304,19.487,19.502,48.3,34.3,5.0
NSGA-III,40,376.7763,264.385295,112.391005,19.474,19.502,49.0,37.1,5.0
NSGA-III,24,410.94085800000005,291.074852,119.866006,19.474,19.502,51.6,37.1,5.0
NSGA-III,25,412.58007499999997,282.033997,130.546078,19.473,19.502,49.0,37.1,5.0
NSGA-III,47,412.62115800000004,281.928853,130.692305,19.473,19.502,49.0,37.1,5.0
NSGA-III,30,412.63137700000004,282.10081,130.530567,19.473,19.502,49.0,37.1,5.0
