optimizer,analysis_type,max_cumulative_pressure,mean_cumulative_pressure,total,mechanical,volumetric,dK,dZ,LKG,lF,zeta,folder_name
BO,Fallback (F_Contact_1),0.0,-0.47805363777449095,156.151315529,155.668971,0.482344529,19.333,19.347,54.4,33.7,0.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I10\ind5_dK19.333_dZ19.347_LKG54.4_lF33.7_zeta0
BO,Fallback (F_Contact_1),27.6044239,0.7492886280717903,172.6902533,156.796493,15.8937603,19.391,19.409,48.5,31.2,0.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I16\ind1_dK19.391_dZ19.409_LKG48.5_lF31.2_zeta0
BO,Fallback (F_Contact_1),26.9554345,0.290038352672522,182.63614344,179.201815,3.43432844,19.541,19.555,49.5,32.2,2.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I19\ind4_dK19.541_dZ19.555_LKG49.5_lF32.2_zeta2
BO,Fallback (F_Contact_1),39.0990364,-32.41338676930539,201.0037559,188.118542,12.8852139,19.405,19.421,47.3,30.1,2.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I29\ind5_dK19.405_dZ19.421_LKG47.3_lF30.1_zeta2
BO,Fallback (F_Contact_1),0.0,-3.477567475449253,202.827329,202.827329,0.0,19.371,19.382,53.3,32.6,0.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I13\ind6_dK19.371_dZ19.382_LKG53.3_lF32.6_zeta0
BO,Fallback (F_Contact_1),6.1136356,-77.65645964556657,203.8716465,190.435119,13.4365275,19.31,19.327,49.6,33.5,4.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I24\ind3_dK19.310_dZ19.327_LKG49.6_lF33.5_zeta4
BO,Fallback (F_Contact_1),67.3408961,-103.18218680066133,212.4801963,203.103036,9.3771603,19.397,19.413,56.0,34.1,4.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I4\ind2_dK19.397_dZ19.413_LKG56.0_lF34.1_zeta4
BO,Fallback (F_Contact_1),0.935952671,-6.42002692319515,223.040967,223.040967,0.0,19.417,19.428,52.4,30.6,0.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I6\ind3_dK19.417_dZ19.428_LKG52.4_lF30.6_zeta0
BO,Fallback (F_Contact_1),132.177554,-109.0565442022845,232.96442565,229.861137,3.10328865,19.509,19.523,50.4,30.3,4.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I19\ind0_dK19.509_dZ19.523_LKG50.4_lF30.3_zeta4
BO,Fallback (F_Contact_1),4.25824698,-57.884204799027614,233.9052665,192.14454,41.7607265,19.35,19.371,48.9,33.8,2.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run1_length_diameter_zeta_optimization_BO\bayesian_optimization\Iteration_I20\ind8_dK19.350_dZ19.371_LKG48.9_lF33.8_zeta2
NSGA-III,Fallback (F_Contact_1),0.0,-158.40298116351283,0.0,0.0,0.0,19.664,19.674,47.1,32.5,4.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run4_length_diameter_zeta_optimization_simple_nsga_more_generation\advanced_nsga3\Generation_G29\ind2_dK19.664_dZ19.674_LKG47.1_lF32.5_zeta4
