optimizer,iteration,total,mechanical,volumetric,dK,dZ,LKG,lF,zeta
BO,10,156.151315529,155.668971,0.482344529,19.333,19.347,54.4,33.7,0.0
BO,16,172.6902533,156.796493,15.8937603,19.391,19.409,48.5,31.2,0.0
BO,19,182.63614344,179.201815,3.43432844,19.541,19.555,49.5,32.2,2.0
BO,29,201.0037559,188.118542,12.8852139,19.405,19.421,47.3,30.1,2.0
BO,13,202.827329,202.827329,0.0,19.371,19.382,53.3,32.6,0.0
NSGA-III,29,0.0,0.0,0.0,19.664,19.674,47.1,32.5,4.0
NSGA-III,30,202.74141154,193.418034,9.32337754,19.678,19.694,47.0,32.5,4.0
NSGA-III,28,203.30223537,193.969323,9.33291237,19.678,19.694,47.0,32.5,4.0
NSGA-III,29,203.32429602,193.998749,9.32554702,19.678,19.694,47.0,32.5,4.0
NSGA-III,25,203.35349065,194.028366,9.32512465,19.678,19.694,47.0,32.5,4.0
