optimizer,iteration,total,penalized_total,mechanical,volumetric,max_contact_pressure,avg_contact_pressure,contact_pressure_penalty,dK,dZ,clearance,LKG,lF,zeta,pattern_type,contact_pressure_valid
BO,12,185.00332067000002,255.35220385936702,178.177071,6.82624967,19.012870399999997,0.012791706781009712,0.38025740799999996,19.24136,19.257,0.01564000000000121,50.2,36.384521,5.0,new,True
BO,19,174.35171532,280.48697707191803,167.37673,6.97498532,30.4371143,0.08246253922429264,0.608742286,19.189021,19.204,0.014979000000000298,46.7,36.50229,5.0,new,True
BO,5,221.3520416,362.609405708117,204.196722,17.1553196,31.907852100000003,0.07739837169750785,0.638157042,19.978094,19.996,0.017905999999999977,52.8,36.248719,5.0,new,True
BO,9,232.933994,374.7890996547877,232.933994,0.0,30.4496358,0.051586985749746864,0.6089927159999999,19.430729,19.442,0.011271000000000697,48.8,32.126084,5.0,new,True
BO,1,219.42242290000002,425.3154277204068,195.790109,23.6323139,46.917038399999996,0.36973861138153175,0.9383407679999999,19.351768,19.37,0.018232000000001136,46.7,30.786084,5.0,new,True
NSGA-III,14,471.294628,1022.4073503586272,347.605835,123.688793,58.4679614,0.5385339505243915,1.169359228,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,2,470.95744,1022.568407219332,347.276836,123.680604,58.5627193,0.5393385044979129,1.171254386,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,16,471.654135,1022.7463243185031,347.976241,123.677894,58.4212189,0.5385118258560924,1.168424378,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,5,471.022932,1022.7648349396952,347.364998,123.657934,58.5684757,0.5391906207363641,1.171369514,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
NSGA-III,12,470.81491,1022.9091280726263,347.141211,123.673699,58.6317687,0.5394241678108305,1.172635374,19.860409,19.888,0.02759100000000103,56.4,36.876299,5.0,new,True
