optimizer,iteration,total,penalized_total,mechanical,volumetric,max_contact_pressure,avg_contact_pressure,contact_pressure_penalty,dK,dZ,clearance,LKG,lF,zeta,pattern_type,contact_pressure_valid
BO,19,174.35171532,523.05514596,167.37673,6.97498532,30.4371143,0.0824625392242926,2.0,19.189021,19.204,0.014979000000000298,46.7,36.50229,5.0,new,True
BO,12,185.00332067000002,555.0099620100001,178.177071,6.82624967,19.012870399999997,0.012791706781009706,2.0,19.24136,19.257,0.01564000000000121,50.2,36.384521,5.0,new,True
BO,1,219.42242290000002,658.2672687,195.790109,23.6323139,46.917038399999996,0.3697386113815319,2.0,19.351768,19.37,0.018232000000001136,46.7,30.786084,5.0,new,True
BO,5,221.3520416,664.0561248,204.196722,17.1553196,31.907852100000003,0.07739837169750785,2.0,19.978094,19.996,0.017905999999999977,52.8,36.248719,5.0,new,True
BO,9,232.933994,698.8019820000001,232.933994,0.0,30.4496358,0.051586985749746864,2.0,19.430729,19.442,0.011271000000000697,48.8,32.126084,5.0,new,True
BO_no_penalty,19,174.35171532,523.05514596,167.37673,6.97498532,30.4371143,0.0824625392242926,2.0,19.189021,19.204,0.014979000000000298,46.7,36.50229,5.0,new,True
BO_no_penalty,12,185.00332067000002,555.0099620100001,178.177071,6.82624967,19.012870399999997,0.012791706781009706,2.0,19.24136,19.257,0.01564000000000121,50.2,36.384521,5.0,new,True
BO_no_penalty,1,219.42242290000002,658.2672687,195.790109,23.6323139,46.917038399999996,0.3697386113815319,2.0,19.351768,19.37,0.018232000000001136,46.7,30.786084,5.0,new,True
BO_no_penalty,5,221.3520416,664.0561248,204.196722,17.1553196,31.907852100000003,0.07739837169750785,2.0,19.978094,19.996,0.017905999999999977,52.8,36.248719,5.0,new,True
BO_no_penalty,9,232.933994,698.8019820000001,232.933994,0.0,30.4496358,0.051586985749746864,2.0,19.430729,19.442,0.011271000000000697,48.8,32.126084,5.0,new,True
NSGA-III,15,164.808717553,488.2453398946631,164.549835,0.258882553,9.812485259999999,0.0011349323952203445,1.962497052,19.192473,19.204,0.011527000000000953,52.4,31.761853,5.0,new,True
NSGA-III,7,172.2948709,516.8846127,158.719934,13.5749369,23.4158147,0.030023131946077992,2.0,18.988418,19.005,0.016581999999999653,49.6,36.034422,5.0,new,True
NSGA-III,9,182.35127792,547.05383376,178.930314,3.42096392,29.0062517,0.0716901808282197,2.0,19.36082,19.374,0.013179999999998415,49.1,28.94465,5.0,new,True
NSGA-III,3,190.3042683,570.9128049,169.115796,21.1884723,26.1093539,0.01421025465170486,2.0,19.087346,19.106,0.018654000000001503,54.4,36.272828,5.0,new,True
NSGA-III,18,193.02955830000002,579.0886749000001,170.876968,22.1525903,29.4049853,0.028656469020752494,2.0,19.211179,19.23,0.01882099999999909,52.3,35.665028,5.0,new,True
NSGA-III_no_penalty,15,164.808717553,488.2453398946631,164.549835,0.258882553,9.812485259999999,0.0011349323952203445,1.962497052,19.192473,19.204,0.011527000000000953,52.4,31.761853,5.0,new,True
NSGA-III_no_penalty,7,172.2948709,516.8846127,158.719934,13.5749369,23.4158147,0.030023131946077992,2.0,18.988418,19.005,0.016581999999999653,49.6,36.034422,5.0,new,True
NSGA-III_no_penalty,9,182.35127792,547.05383376,178.930314,3.42096392,29.0062517,0.0716901808282197,2.0,19.36082,19.374,0.013179999999998415,49.1,28.94465,5.0,new,True
NSGA-III_no_penalty,3,190.3042683,570.9128049,169.115796,21.1884723,26.1093539,0.01421025465170486,2.0,19.087346,19.106,0.018654000000001503,54.4,36.272828,5.0,new,True
NSGA-III_no_penalty,18,193.02955830000002,579.0886749000001,170.876968,22.1525903,29.4049853,0.028656469020752494,2.0,19.211179,19.23,0.01882099999999909,52.3,35.665028,5.0,new,True
