optimizer,iteration,total,mechanical,volumetric,dK,dZ,clearance,LKG,lF,zeta,pattern_type
BO,60,176.61492766,172.991306,3.62362166,19.487,19.502,0.015000000000000568,54.8,36.739342,5.0,old
BO,34,182.545531772,181.988628,0.556903772,19.489,19.502,0.012999999999998124,54.0,35.099235,5.0,old
BO,63,182.73401652,178.570533,4.16348352,19.487,19.502,0.015000000000000568,48.5,36.073904,5.0,old
BO,43,185.29730527,178.342623,6.95468227,19.486,19.502,0.015999999999998238,54.3,37.179536,5.0,old
BO,49,187.00441904000002,180.926106,6.07831304,19.487,19.502,0.015000000000000568,48.3,34.26269,5.0,old
NSGA-III,40,376.7763,264.385295,112.391005,19.474,19.502,0.027999999999998693,49.0,37.094044,5.0,old
NSGA-III,24,410.94085800000005,291.074852,119.866006,19.474,19.502,0.027999999999998693,51.6,37.102837,5.0,old
NSGA-III,25,412.58007499999997,282.033997,130.546078,19.473,19.502,0.028999999999999915,49.0,37.091771,5.0,old
NSGA-III,47,412.62115800000004,281.928853,130.692305,19.473,19.502,0.028999999999999915,49.0,37.085711,5.0,old
NSGA-III,30,412.63137700000004,282.10081,130.530567,19.473,19.502,0.028999999999999915,49.0,37.090775,5.0,old
