optimizer,analysis_type,iteration,max_cumulative_pressure,mean_cumulative_pressure,original_total_loss,penalty_percentage,penalized_total_loss,mechanical,volumetric,dK,dZ,clearance,LKG,lF,zeta,folder_name
BO,Fallback (F_Contact_1),60,1.25766498,-0.021620076660617132,176.61492766,2.51532996e-05,176.6149720844819,172.991306,3.62362166,19.487,19.502,0.015000000000000568,54.8,36.739342,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I60\ind1_dK19.487_dZ19.502_LKG54.8_lF36.7_zeta5
BO,Fallback (F_Contact_1),34,1.32952138,-0.5580583977013521,182.545531772,2.6590427600000002e-05,182.54558031163745,181.988628,0.556903772,19.489,19.502,0.012999999999998124,54.0,35.099235,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I34\ind1_dK19.489_dZ19.502_LKG54.0_lF35.1_zeta5
BO,Fallback (F_Contact_1),63,10.4909859,-5.810445927868386,182.73401652,0.000209819718,182.73439993199815,178.570533,4.16348352,19.487,19.502,0.015000000000000568,48.5,36.073904,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I63\ind0_dK19.487_dZ19.502_LKG48.5_lF36.1_zeta5
BO,Fallback (F_Contact_1),43,0.59915795,-1.331267105023254,185.29730527,1.1983159e-05,185.29732747447073,178.342623,6.95468227,19.486,19.502,0.015999999999998238,54.3,37.179536,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I43\ind4_dK19.486_dZ19.502_LKG54.3_lF37.2_zeta5
BO,Fallback (F_Contact_1),49,3.55350452,-35.58560759773074,187.00441904000002,7.107009040000001e-05,187.00455194420965,180.926106,6.07831304,19.487,19.502,0.015000000000000568,48.3,34.26269,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I49\ind1_dK19.487_dZ19.502_LKG48.3_lF34.3_zeta5
BO,Fallback (F_Contact_1),57,3.10514012,-0.44366456649596536,190.03068150800001,6.210280240000001e-05,190.03079952237863,189.390937,0.639744508,19.489,19.502,0.012999999999998124,55.8,35.250641,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I57\ind0_dK19.489_dZ19.502_LKG55.8_lF35.3_zeta5
BO,Fallback (F_Contact_1),70,9.27550612,-1.307755053752063,199.600162,0.00018551012239999997,199.60053227850483,199.600162,0.0,19.49,19.502,0.012000000000000455,51.1,33.740517,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I70\ind2_dK19.490_dZ19.502_LKG51.1_lF33.7_zeta5
BO,Fallback (F_Contact_1),63,36.470748,-0.6072677610353927,205.04008769,0.00072941496,205.04158328307363,203.91672,1.12336769,19.489,19.502,0.012999999999998124,53.2,32.817256,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I63\ind3_dK19.489_dZ19.502_LKG53.2_lF32.8_zeta5
BO,Fallback (F_Contact_1),18,2.21068149,-1.904261513936609,206.659008,4.42136298e-05,206.65909937144875,206.659008,0.0,19.49,19.502,0.012000000000000455,55.6,35.803964,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I18\ind2_dK19.490_dZ19.502_LKG55.6_lF35.8_zeta5
BO,Fallback (F_Contact_1),35,3.54356729,-52.442040138705096,208.9623707,7.08713458e-05,208.96251879444432,194.2165,14.7458707,19.484,19.502,0.01799999999999713,53.9,34.671323,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I35\ind3_dK19.484_dZ19.502_LKG53.9_lF34.7_zeta5
BO,Fallback (F_Contact_1),50,3.55462589,-82.54870892274064,209.8489145,7.10925178e-05,209.84906368687692,188.888307,20.9606075,19.483,19.502,0.01899999999999835,51.0,35.717697,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I50\ind4_dK19.483_dZ19.502_LKG51.0_lF35.7_zeta5
BO,Fallback (F_Contact_1),45,19.3846796,-1.8484105346819701,210.128342,0.000387693592,210.12915665411694,210.128342,0.0,19.49,19.502,0.012000000000000455,51.2,33.063462,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I45\ind2_dK19.490_dZ19.502_LKG51.2_lF33.1_zeta5
BO,Fallback (F_Contact_1),66,3.41288635,-27.67994565269756,211.71208642,6.8257727e-05,211.71223092985798,207.862662,3.84942442,19.488,19.502,0.013999999999999346,53.0,31.556623,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I66\ind1_dK19.488_dZ19.502_LKG53.0_lF31.6_zeta5
BO,Fallback (F_Contact_1),57,3.51539691,-124.04077508014963,212.29234473,7.03079382e-05,212.29249398837055,207.171446,5.12089873,19.487,19.502,0.015000000000000568,50.2,30.046218,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I57\ind2_dK19.487_dZ19.502_LKG50.2_lF30.0_zeta5
BO,Fallback (F_Contact_1),40,3.84649071,-1.9752573172595096,219.64145,7.69298142e-05,219.6416189697594,219.64145,0.0,19.49,19.502,0.012000000000000455,55.6,34.108876,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I40\ind2_dK19.490_dZ19.502_LKG55.6_lF34.1_zeta5
BO,Fallback (F_Contact_1),3,32.3606939,-1.4423249332079122,223.117393,0.0006472138780000001,223.11883704673173,223.117393,0.0,19.491,19.502,0.010999999999999233,50.4,34.678866,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I3\ind2_dK19.491_dZ19.502_LKG50.4_lF34.7_zeta5
BO,Fallback (F_Contact_1),39,4.41987399,-206.1428754153687,224.15373243000002,8.839747980000001e-05,224.15393057625036,220.270753,3.88297943,19.488,19.502,0.013999999999999346,50.1,28.868525,5.0,Z:\Studenten\Mit\Inline_Thesis-Simulation\HSP\RUN\Run_optimizer_test\Run6_diameter_psiton_bushing_length_piston_advance_nsga\bayesian_optimization\Iteration_I39\ind2_dK19.488_dZ19.502_LKG50.1_lF28.9_zeta5
