optimizer,iteration,total,penalized_total,mechanical,volumetric,max_contact_pressure,avg_contact_pressure,contact_pressure_penalty,dK,dZ,clearance,LKG,lF,zeta,pattern_type,contact_pressure_valid
BO,60,176.61492766,225.45345883864533,172.991306,3.62362166,13.826275,0.0025172558589841546,0.27652550000000004,19.487,19.502,0.015000000000000568,54.8,36.739342,5.0,old,True
BO,34,182.545531772,231.31186486386395,181.988628,0.556903772,13.357306699999999,0.002692762850639346,0.267146134,19.489,19.502,0.012999999999998124,54.0,35.099235,5.0,old,True
BO,43,185.29730527,250.76387495728673,178.342623,6.95468227,17.6652784,0.006441636935995995,0.35330556799999996,19.486,19.502,0.015999999999998238,54.3,37.179536,5.0,old,True
BO,70,199.600162,255.8731678092426,199.600162,0.0,14.0964329,0.006866190886011694,0.281928658,19.49,19.502,0.012000000000000455,51.1,33.740517,5.0,old,True
BO,57,190.03068150800001,256.09920837827406,189.390937,0.639744508,17.3836473,0.0070242832108713205,0.347672946,19.489,19.502,0.012999999999998124,55.8,35.250641,5.0,old,True
BO,63,182.73401652,271.79173497573754,178.570533,4.16348352,24.3681281,0.029221545715044882,0.487362562,19.487,19.502,0.015000000000000568,48.5,36.073904,5.0,old,True
BO,18,206.659008,272.0415799453041,206.659008,0.0,15.8189504,0.0045584784119429385,0.316379008,19.49,19.502,0.012000000000000455,55.6,35.803964,5.0,old,True
BO,49,187.00441904000002,275.51300168524364,180.926106,6.07831304,23.6648372,0.062281880706046996,0.473296744,19.487,19.502,0.015000000000000568,48.3,34.26269,5.0,old,True
BO,45,210.128342,286.642561346171,210.128342,0.0,18.2065443,0.012716598839597483,0.36413088600000004,19.49,19.502,0.012000000000000455,51.2,33.063462,5.0,old,True
BO,63,205.04008769,297.12119046223233,203.91672,1.12336769,22.4544146,0.022789141460170855,0.449088292,19.489,19.502,0.012999999999998124,53.2,32.817256,5.0,old,True
NSGA-III,40,376.7763,792.6518115012155,264.385295,112.391005,55.1886506,0.41014751107413,1.103773012,19.474,19.502,0.027999999999998693,49.0,37.094044,5.0,old,True
NSGA-III,24,410.94085800000005,844.3981074862667,291.074852,119.866006,52.7396146,0.41407156800385087,1.0547922920000001,19.474,19.502,0.027999999999998693,51.6,37.102837,5.0,old,True
NSGA-III,32,415.505631,885.6829594177498,284.414043,131.091588,56.5789358,0.4327079034413813,1.131578716,19.473,19.502,0.028999999999999915,49.3,37.102425,5.0,old,True
NSGA-III,25,412.58007499999997,887.417003805351,282.033997,130.546078,57.5448207,0.4407989663231268,1.150896414,19.473,19.502,0.028999999999999915,49.0,37.091771,5.0,old,True
NSGA-III,30,412.63137700000004,887.7880999381988,282.10081,130.530567,57.5764168,0.4394009343245604,1.151528336,19.473,19.502,0.028999999999999915,49.0,37.090775,5.0,old,True
NSGA-III,47,412.62115800000004,889.4973422860577,281.928853,130.692305,57.7862011,0.44314034479620285,1.155724022,19.473,19.502,0.028999999999999915,49.0,37.085711,5.0,old,True
NSGA-III,28,427.182735,892.2343232283719,294.778148,132.404587,54.4323951,0.41684616554082154,1.088647902,19.473,19.502,0.028999999999999915,51.0,37.125915,5.0,old,True
NSGA-III,37,419.04419899999994,893.4880139678886,286.510839,132.53336,56.6102354,0.44285262777857554,1.132204708,19.473,19.502,0.028999999999999915,49.3,36.504501,5.0,old,True
NSGA-III,17,414.66246,893.5221352202549,283.311363,131.351097,57.7409003,0.4384171980040489,1.154818006,19.473,19.502,0.028999999999999915,49.1,37.083409,5.0,old,True
NSGA-III,46,428.307817,896.106110707852,295.100209,133.207608,54.6100579,0.4200604570532784,1.092201158,19.473,19.502,0.028999999999999915,50.9,37.086216,5.0,old,True
BO_no_penalty,60,176.61492766,225.45345883864533,172.991306,3.62362166,13.826275,0.0025172558589841546,0.27652550000000004,19.487,19.502,0.015000000000000568,54.8,36.739342,5.0,old,True
BO_no_penalty,34,182.545531772,231.31186486386395,181.988628,0.556903772,13.357306699999999,0.002692762850639346,0.267146134,19.489,19.502,0.012999999999998124,54.0,35.099235,5.0,old,True
BO_no_penalty,63,182.73401652,271.79173497573754,178.570533,4.16348352,24.3681281,0.029221545715044882,0.487362562,19.487,19.502,0.015000000000000568,48.5,36.073904,5.0,old,True
BO_no_penalty,43,185.29730527,250.76387495728673,178.342623,6.95468227,17.6652784,0.006441636935995995,0.35330556799999996,19.486,19.502,0.015999999999998238,54.3,37.179536,5.0,old,True
BO_no_penalty,49,187.00441904000002,275.51300168524364,180.926106,6.07831304,23.6648372,0.062281880706046996,0.473296744,19.487,19.502,0.015000000000000568,48.3,34.26269,5.0,old,True
BO_no_penalty,57,190.03068150800001,256.09920837827406,189.390937,0.639744508,17.3836473,0.0070242832108713205,0.347672946,19.489,19.502,0.012999999999998124,55.8,35.250641,5.0,old,True
BO_no_penalty,70,199.600162,255.8731678092426,199.600162,0.0,14.0964329,0.006866190886011694,0.281928658,19.49,19.502,0.012000000000000455,51.1,33.740517,5.0,old,True
BO_no_penalty,63,205.04008769,297.12119046223233,203.91672,1.12336769,22.4544146,0.022789141460170855,0.449088292,19.489,19.502,0.012999999999998124,53.2,32.817256,5.0,old,True
BO_no_penalty,18,206.659008,272.0415799453041,206.659008,0.0,15.8189504,0.0045584784119429385,0.316379008,19.49,19.502,0.012000000000000455,55.6,35.803964,5.0,old,True
BO_no_penalty,35,208.9623707,369.08261074842795,194.2165,14.7458707,38.3131756,0.09363781126884804,0.766263512,19.484,19.502,0.01799999999999713,53.9,34.671323,5.0,old,True
NSGA-III_no_penalty,40,376.7763,792.6518115012155,264.385295,112.391005,55.1886506,0.41014751107413,1.103773012,19.474,19.502,0.027999999999998693,49.0,37.094044,5.0,old,True
NSGA-III_no_penalty,24,410.94085800000005,844.3981074862667,291.074852,119.866006,52.7396146,0.41407156800385087,1.0547922920000001,19.474,19.502,0.027999999999998693,51.6,37.102837,5.0,old,True
NSGA-III_no_penalty,25,412.58007499999997,887.417003805351,282.033997,130.546078,57.5448207,0.4407989663231268,1.150896414,19.473,19.502,0.028999999999999915,49.0,37.091771,5.0,old,True
NSGA-III_no_penalty,47,412.62115800000004,889.4973422860577,281.928853,130.692305,57.7862011,0.44314034479620285,1.155724022,19.473,19.502,0.028999999999999915,49.0,37.085711,5.0,old,True
NSGA-III_no_penalty,30,412.63137700000004,887.7880999381988,282.10081,130.530567,57.5764168,0.4394009343245604,1.151528336,19.473,19.502,0.028999999999999915,49.0,37.090775,5.0,old,True
NSGA-III_no_penalty,17,414.66246,893.5221352202549,283.311363,131.351097,57.7409003,0.4384171980040489,1.154818006,19.473,19.502,0.028999999999999915,49.1,37.083409,5.0,old,True
NSGA-III_no_penalty,32,415.505631,885.6829594177498,284.414043,131.091588,56.5789358,0.4327079034413813,1.131578716,19.473,19.502,0.028999999999999915,49.3,37.102425,5.0,old,True
NSGA-III_no_penalty,37,419.04419899999994,893.4880139678886,286.510839,132.53336,56.6102354,0.44285262777857554,1.132204708,19.473,19.502,0.028999999999999915,49.3,36.504501,5.0,old,True
NSGA-III_no_penalty,15,420.96976099999995,911.0931532987626,286.174873,134.794888,58.2136103,0.44894913936868286,1.164272206,19.473,19.502,0.028999999999999915,49.1,37.115673,5.0,old,True
NSGA-III_no_penalty,44,420.996812,912.2450319569392,286.052754,134.944058,58.343460799999995,0.44839771367383063,1.1668692159999998,19.473,19.502,0.028999999999999915,49.0,37.085697,5.0,old,True
