zeta_deg,phi_deg,pDC,FDK,FaK,Fwk,FKx,FKy,FK,MKx,MKy,MK,FSKx,FSKy,FAKz,FAKy,Fwky,Fwkz,FAK_inclined
0,0,29759,-20.97730969827486,229.42809709813494,920.1858374586101,0.0,972.1584559721057,972.1584559721057,8.682132189451146,0.0,8.682132189451146,0.0,51.97261851349557,208.45078739986008,0.0,920.1858374586101,0.0,208.45078739986008
0,1,37992,-18.518543582389594,229.39315408768695,920.1858374586101,-0.9175942218808332,972.7547752227696,972.7552080034611,8.676168996944506,-0.009175942218808332,8.676173849195084,0.0,52.576945487619405,210.87461050529737,0.0,920.1858374586101,0.0,210.87461050529737
0,2,121702,6.4812513357150525,229.28833570032248,920.1858374586101,-2.0515306274931135,978.9339881251617,978.9361377968175,8.614376867920585,-0.020515306274931137,8.61440129668666,0.0,58.78396026685671,235.76958703603754,0.0,920.1858374586101,0.0,235.76958703603754
0,3,311893,63.28134684723388,229.11367386473768,920.1858374586101,-3.8154098324551726,992.9881939913894,992.9955240374805,8.473834809258307,-0.03815409832455173,8.47392070471613,0.0,72.90226655540631,292.39502071197154,0.0,920.1858374586101,0.0,292.39502071197154
0,4,576200,142.2160117071011,228.8692217846197,920.1858374586101,-6.454004288904773,1012.4823988136246,1012.5029689234264,8.278892761035955,-0.06454004288904773,8.279144325705987,0.0,92.52194015108614,371.0852334917208,0.0,920.1858374586101,0.0,371.0852334917208
0,5,897934,238.30111525723228,228.5550539224402,920.1858374586101,-10.144956021148163,1036.143215389547,1036.192879212389,8.04228459527673,-0.10144956021148163,8.042924438579073,0.0,116.40031627658584,466.8561691796725,0.0,920.1858374586101,0.0,466.8561691796725
0,6,1302380,359.08796336913946,228.1712659767734,920.1858374586101,-15.305075445533838,1065.803903246792,1065.9137889672368,7.7456777167042805,-0.1530507544553384,7.747189672680577,0.0,146.42017080404187,587.2592293459129,0.0,920.1858374586101,0.0,587.2592293459129
0,7,1769840,498.6937946009779,227.7179748531454,920.1858374586101,-22.07234123532671,1099.9506309555795,1100.172067809025,7.404210439616406,-0.22072341235326712,7.40749964960414,0.0,181.1147957197776,726.4117694541233,0.0,920.1858374586101,0.0,726.4117694541233
0,8,2314600,661.3850893039607,227.19531862842356,920.1858374586101,-30.833519175849705,1139.577726237004,1139.9947807074677,7.007939486802162,-0.30833519175849705,7.014719270302818,0.0,221.54797847536017,888.5804079323843,0.0,920.1858374586101,0.0,888.5804079323843
0,9,2923430,843.210739046998,226.60345650875703,920.1858374586101,-41.726490214131715,1183.6365282501577,1184.3717874863771,6.567351466670625,-0.4172649021413172,6.5805938398703665,0.0,266.7346367912004,1069.814195555755,0.0,920.1858374586101,0.0,1069.814195555755
