%time,revolution,shaft_angle,FAKz,FSKx,FSKy,FSKz,FKx,FKy,FK,FaK,FDK,FwK,FAKy
0.0,0.0,0.0,229.6887,1.0,57.26783,0,-35.27157,978.4989,979.1344,229.6887,0.0,921.2311,0.0
3.787879e-05,0.002777778,1.0,240.5138,0.9998477,59.96682,0,-36.35223,981.2062,981.8794,229.6537,10.66877,921.2311,0.0
7.575758e-05,0.005555556,2.0,271.2988,0.9993908,67.64238,0,-37.76459,988.8671,989.588,229.5488,41.34931,921.2311,0.0
0.0001136364,0.008333333,3.0,323.4952,0.9986295,80.65641,0,-39.79268,1001.829,1002.619,229.3739,93.49171,921.2311,0.0
0.0001515152,0.01111111,4.0,397.0147,0.9975641,98.98687,0,-42.71388,1020.046,1020.94,229.1292,166.9981,921.2311,0.0
0.0001893939,0.01388889,5.0,489.1399,0.9961947,121.9563,0,-46.73797,1042.81,1043.857,228.8147,259.1478,921.2311,0.0
0.0002272727,0.01666667,6.0,605.2651,0.9945219,150.9095,0,-52.2645,1071.418,1072.692,228.4305,375.3269,921.2311,0.0
0.0002651515,0.01944444,7.0,740.0912,0.9925462,184.5255,0,-59.4259,1104.502,1106.1,227.9766,510.2376,921.2311,0.0
0.0003030303,0.02222222,8.0,888.9271,0.9902681,221.6344,0,-68.28409,1140.846,1142.888,227.4534,659.1931,921.2311,0.0
0.0003409091,0.025,9.0,1075.216,0.9876883,268.0814,0,-80.01082,1186.167,1188.862,226.8609,845.606,921.2311,0.0
0.0003787879,0.02777778,10.0,1265.059,0.9848078,315.4146,0,-93.50325,1232.025,1235.568,226.1992,1035.615,921.2311,0.0
0.0004166667,0.03055556,11.0,1485.015,0.9816272,370.2558,0,-110.1563,1284.872,1289.585,225.4687,1255.747,921.2311,0.0
0.0004545455,0.03333333,12.0,1724.924,0.9781476,430.0718,0,-129.7887,1342.108,1348.369,224.6695,1495.852,921.2311,0.0
0.0004924242,0.03611111,13.0,1985.845,0.9743701,495.1268,0,-152.7107,1403.887,1412.168,223.8018,1756.988,921.2311,0.0
0.000530303,0.03888889,14.0,2262.362,0.9702957,564.0703,0,-178.8334,1468.781,1479.628,222.866,2033.747,921.2311,0.0
0.0005681818,0.04166667,15.0,2568.234,0.9659258,640.3326,0,-209.2833,1539.995,1554.151,221.8623,2339.864,921.2311,0.0
0.0006060606,0.04444444,16.0,2888.865,0.9612617,720.275,0,-243.3593,1613.869,1632.114,220.791,2660.766,921.2311,0.0
0.0006439394,0.04722222,17.0,3245.259,0.9563048,809.134,0,-282.8474,1695.289,1718.723,219.6524,3017.424,921.2311,0.0
0.0006818182,0.05,18.0,3695.781,0.9510565,921.4617,0,-332.9285,1797.887,1828.453,218.4469,3468.104,921.2311,0.0
