%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss	FSKx	FSKy	FAKz	FKx	FKy	FK	FaK	FDK	FwK	FAKy	Fwky	Fwkz	FAK_inclined	MKx	MKy	MK
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.285342e-004	-6.459968e-003	-6.731095e-004	9.449395e-003	3.410000e-002	2.386800e-002	2.135800e-002	0.000000e+000	5.846800e-002	-0.000000e+000	3.531000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-0.000000e+000	2.195791e-027	2.195791e-027	0.000000e+000	-0.000000e+000	-9.562889e-002	-5.675809e-020	-5.675809e-020	0.000000e+000	-9.807236e+000	2.563020e-028	-9.807236e+000	3.627157e+001	1.000000e+000	-5.675809e-020	-5.675809e-020	0.000000e+000	9.807236e+000	2.709483e-028	9.807236e+000	3.799960e+002	1.003940e+000	2.520521e+001	3.764259e+000	-6.047678e+001	9.747347e+002	-2.517977e+001	-5.075992e+000	6.067323e+001	-9.783781e+002	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.543963e-002	1.311733e+000	-1.964499e-001	3.643460e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.397767e+001	0.000000e+000	1.000000e+000	5.726783e+001	2.296887e+002	-3.527157e+001	9.784989e+002	9.791344e+002	2.296887e+002	0.000000e+000	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	2.296887e+002	-3.323845e+001	-2.062258e+000	3.330237e+001
3.787879e-005	2.777778e-003	1.000000e+000	2.002024e-008	-2.446958e-007	-2.549657e-008	3.579316e-007	4.471035e-004	-5.995423e-003	-5.540224e-004	8.713494e-003	3.410000e-002	2.386640e-002	2.135640e-002	0.000000e+000	5.846600e-002	-1.597940e-006	3.533000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-8.436910e-002	-7.330592e-009	1.883426e-009	-9.214019e-009	3.502676e-005	-9.807365e-002	1.912925e-001	2.053579e-003	1.892389e-001	-1.005796e+001	6.328106e-005	-1.005802e+001	3.630536e+001	1.367280e+000	-1.871853e-001	2.053579e-003	-1.892389e-001	1.005809e+001	6.328106e-005	1.005802e+001	3.799730e+002	1.363880e+000	2.597532e+001	1.887152e+000	-6.232754e+001	9.793191e+002	-2.594673e+001	-2.053069e+000	6.237860e+001	-9.797057e+002	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.858395e-002	1.659171e-001	-5.105837e-002	3.866056e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.548205e+001	-2.692380e-004	9.998477e-001	5.996682e+001	2.405138e+002	-3.635223e+001	9.812062e+002	9.818794e+002	2.296537e+002	1.066877e+001	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	2.405138e+002	-3.339478e+001	-2.125369e+000	3.346235e+001
7.575758e-005	5.555556e-003	2.000000e+000	3.695597e-008	-4.717951e-007	-4.648227e-008	6.879882e-007	3.999524e-004	-5.934148e-003	-4.869968e-004	8.646152e-003	3.410000e-002	2.386161e-002	2.135161e-002	0.000000e+000	5.846100e-002	-6.391274e-006	3.538000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-1.687125e-001	-2.255314e-008	3.727062e-009	-2.628020e-008	1.467030e-004	-9.880673e-002	4.006572e-001	1.940430e-002	3.812529e-001	-1.013314e+001	1.750818e-004	-1.013332e+001	3.640269e+001	2.423480e+000	-3.618486e-001	1.940430e-002	-3.812529e-001	1.013349e+001	1.750818e-004	1.013332e+001	3.799820e+002	1.515850e+000	2.697898e+001	-3.441922e+000	-6.474357e+001	9.923091e+002	-2.701871e+001	3.233137e+000	6.460682e+001	-9.925797e+002	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	3.972596e-002	2.087852e-001	1.367537e-001	2.706626e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.614248e+001	-3.210394e-003	9.993908e-001	6.764238e+001	2.712988e+002	-3.776459e+001	9.888671e+002	9.895880e+002	2.295488e+002	4.134931e+001	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	2.712988e+002	-3.383774e+001	-2.207756e+000	3.390969e+001
1.136364e-004	8.333333e-003	3.000000e+000	5.210568e-008	-6.965734e-007	-6.492912e-008	1.015494e-006	3.571647e-004	-5.890928e-003	-4.277645e-004	8.608725e-003	3.410000e-002	2.385362e-002	2.134362e-002	0.000000e+000	5.845300e-002	-1.437854e-005	3.546000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-2.530045e-001	-4.343866e-008	6.573153e-009	-5.001182e-008	3.456904e-004	-9.922637e-002	6.295647e-001	5.539162e-002	5.741731e-001	-1.017618e+001	3.648642e-004	-1.017654e+001	3.656871e+001	4.218520e+000	-5.187815e-001	5.539162e-002	-5.741731e-001	1.017691e+001	3.648642e-004	1.017654e+001	3.799810e+002	1.606270e+000	2.841851e+001	-1.246699e+001	-6.821119e+001	1.014296e+003	-2.833005e+001	1.224654e+001	6.820714e+001	-1.014571e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-8.845734e-002	2.204545e-001	4.053812e-003	2.745554e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.682243e+001	-1.398082e-002	9.986295e-001	8.065641e+001	3.234952e+002	-3.979268e+001	1.001829e+003	1.002619e+003	2.293739e+002	9.349171e+001	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	3.234952e+002	-3.458750e+001	-2.326002e+000	3.466562e+001
1.515152e-004	1.111111e-002	4.000000e+000	6.563465e-008	-9.197147e-007	-8.113232e-008	1.341582e-006	3.225697e-004	-5.886569e-003	-3.811604e-004	8.629654e-003	3.410000e-002	2.384244e-002	2.133244e-002	0.000000e+000	5.844200e-002	-2.555731e-005	3.557000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-3.372194e-001	-6.867724e-008	1.069879e-008	-7.937603e-008	6.494498e-004	-9.954295e-002	8.873895e-001	1.196339e-001	7.677556e-001	-1.020864e+001	6.575581e-004	-1.020930e+001	3.680404e+001	6.749030e+000	-6.481217e-001	1.196339e-001	-7.677556e-001	1.020996e+001	6.575581e-004	1.020930e+001	3.799690e+002	1.657310e+000	3.049095e+001	-2.514801e+001	-7.320483e+001	1.045194e+003	-3.022882e+001	2.482513e+001	7.341367e+001	-1.045514e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.621261e-001	3.228831e-001	-2.088461e-001	3.191624e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.756523e+001	-3.948275e-002	9.975641e-001	9.898687e+001	3.970147e+002	-4.271388e+001	1.020046e+003	1.020940e+003	2.291292e+002	1.669981e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	3.970147e+002	-3.564113e+001	-2.496285e+000	3.572844e+001
1.893939e-004	1.388889e-002	5.000000e+000	7.785320e-008	-1.142691e-006	-9.557021e-008	1.668463e-006	2.997517e-004	-5.922789e-003	-3.491810e-004	8.699419e-003	3.410000e-002	2.382808e-002	2.131808e-002	0.000000e+000	5.842800e-002	-3.992417e-005	3.571000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-4.213317e-001	-9.697580e-008	1.649934e-008	-1.134751e-007	1.076646e-003	-9.983216e-002	1.177416e+000	2.153324e-001	9.620841e-001	-1.023830e+001	1.097680e-003	-1.023940e+001	3.710119e+001	9.921350e+000	-7.467517e-001	2.153324e-001	-9.620841e-001	1.024050e+001	1.097680e-003	1.023940e+001	3.799460e+002	1.681230e+000	3.334432e+001	-4.096954e+001	-8.008229e+001	1.083780e+003	-3.332428e+001	4.071332e+001	8.008005e+001	-1.084084e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	-2.004596e-002	2.562147e-001	2.242787e-003	3.041859e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.842284e+001	-8.651551e-002	9.961947e-001	1.219563e+002	4.891399e+002	-4.673797e+001	1.042810e+003	1.043857e+003	2.288147e+002	2.591478e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	4.891399e+002	-3.695689e+001	-2.730806e+000	3.705764e+001
2.272727e-004	1.666667e-002	6.000000e+000	8.920743e-008	-1.367039e-006	-1.087968e-007	1.997986e-006	2.913430e-004	-6.015453e-003	-3.378722e-004	8.832227e-003	3.410000e-002	2.381053e-002	2.130053e-002	0.000000e+000	5.841000e-002	-5.747475e-005	3.589000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-5.053155e-001	-1.269386e-007	2.459135e-008	-1.515300e-007	1.653558e-003	-1.001326e-001	1.507780e+000	3.503788e-001	1.157402e+000	-1.026911e+001	1.751549e-003	-1.027087e+001	3.747923e+001	1.392090e+001	-8.070228e-001	3.503788e-001	-1.157402e+000	1.027262e+001	1.751549e-003	1.027087e+001	3.799090e+002	1.686950e+000	3.725953e+001	-6.081367e+001	-8.952403e+001	1.132232e+003	-3.729065e+001	6.056426e+001	8.950664e+001	-1.132523e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	3.111770e-002	2.494028e-001	1.739294e-002	2.910293e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.943222e+001	-1.640161e-001	9.945219e-001	1.509095e+002	6.052651e+002	-5.226450e+001	1.071418e+003	1.072692e+003	2.284305e+002	3.753269e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	6.052651e+002	-3.860910e+001	-3.052770e+000	3.872960e+001
2.651515e-004	1.944444e-002	7.000000e+000	1.002432e-007	-1.594897e-006	-1.215950e-007	2.332540e-006	2.992027e-004	-6.160800e-003	-3.473251e-004	9.007387e-003	3.410000e-002	2.378980e-002	2.127980e-002	0.000000e+000	5.838900e-002	-7.820371e-005	3.610000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-5.891455e-001	-1.575393e-007	3.532585e-008	-1.928652e-007	2.399865e-003	-1.004686e-001	1.876919e+000	5.228548e-001	1.354064e+000	-1.030357e+001	2.720982e-003	-1.030629e+001	3.792305e+001	1.856530e+001	-8.312097e-001	5.228548e-001	-1.354064e+000	1.030901e+001	2.720982e-003	1.030629e+001	3.798600e+002	1.679630e+000	4.232832e+001	-8.371930e+001	-1.017542e+002	1.188221e+003	-4.243323e+001	8.327993e+001	1.016815e+002	-1.188633e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	1.049131e-001	4.393711e-001	7.273189e-002	4.119086e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.064438e+001	-2.767226e-001	9.925462e-001	1.845255e+002	7.400912e+002	-5.942590e+001	1.104502e+003	1.106100e+003	2.279766e+002	5.102376e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	7.400912e+002	-4.051835e+001	-3.469819e+000	4.066665e+001
3.030303e-004	2.222222e-002	8.000000e+000	1.115766e-007	-1.828260e-006	-1.347512e-007	2.673729e-006	3.278219e-004	-6.381260e-003	-3.786427e-004	9.213291e-003	3.410000e-002	2.376590e-002	2.125590e-002	0.000000e+000	5.836500e-002	-1.021047e-004	3.634000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-6.727960e-001	-1.878539e-007	4.904257e-008	-2.368965e-007	3.330067e-003	-1.008632e-001	2.280609e+000	7.280071e-001	1.552602e+000	-1.034404e+001	4.103443e-003	-1.034814e+001	3.841917e+001	2.369320e+001	-8.245951e-001	7.280071e-001	-1.552602e+000	1.035225e+001	4.103443e-003	1.034814e+001	3.798010e+002	1.664950e+000	4.858984e+001	-1.088040e+002	-1.168739e+002	1.249650e+003	-4.862786e+001	1.085087e+002	1.168066e+002	-1.249994e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	3.802804e-002	2.952363e-001	6.736860e-002	3.440956e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.207319e+001	-4.263006e-001	9.902681e-001	2.216344e+002	8.889271e+002	-6.828409e+001	1.140846e+003	1.142888e+003	2.274534e+002	6.591931e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	8.889271e+002	-4.261308e+001	-3.985401e+000	4.279904e+001
3.409091e-004	2.500000e-002	9.000000e+000	1.239941e-007	-2.069975e-006	-1.490937e-007	3.022718e-006	3.887781e-004	-6.720451e-003	-4.462276e-004	9.511117e-003	3.410000e-002	2.373883e-002	2.122883e-002	0.000000e+000	5.833800e-002	-1.291705e-004	3.661000e-003	0.000000e+000	4.797628e-002	1.387628e-002	-7.562415e-001	-2.157215e-007	6.739741e-008	-2.831189e-007	4.511914e-003	-1.013384e-001	2.749043e+000	9.953273e-001	1.753716e+000	-1.039277e+001	6.051864e-003	-1.039883e+001	3.904917e+001	3.011060e+001	-7.583886e-001	9.953273e-001	-1.753716e+000	1.040488e+001	6.051864e-003	1.039883e+001	3.797190e+002	1.644110e+000	5.687103e+001	-1.401138e+002	-1.368819e+002	1.326280e+003	-5.690718e+001	1.398175e+002	1.368240e+002	-1.326647e+003	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	3.614370e-002	2.962682e-001	5.784474e-002	3.664464e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.378116e+001	-6.279782e-001	9.876883e-001	2.680814e+002	1.075216e+003	-8.001082e+001	1.186167e+003	1.188862e+003	2.268609e+002	8.456060e+002	9.212311e+002	0.000000e+000	9.212311e+002	0.000000e+000	1.075216e+003	-4.522616e+001	-4.667671e+000	4.546639e+001
