%time	revolution	shaft_angle	e_1	e_2	e_3	e_4	e_1_velocity	e_2_velocity	e_3_velocity	e_4_velocity	variable_gap_length	lout	pos_A	pos_B	zRK	Stroke	lA	lB	z_A	z_B	Piston_Velocity	Piston_Leakage	Poiseuille_Leakage	Couette_Leakage	MTK	MTKtan	Axial_Friction	FTKy_p	FTKy_c	Circumferential_Friction	FTKx_p	FTKx_c	FTG	pDC	FTby	FTby_p	FTby_c	FTbx	FTbx_p	FTbx_c	High_Pressure	Low_Pressure	F_1	F_2	F_3	F_4	F_Fluid_1	F_Fluid_2	F_Fluid_3	F_Fluid_4	F_Contact_1	F_Contact_2	F_Contact_3	F_Contact_4	dF_1	dF_2	dF_3	dF_4	Total_Leakage	Total_Torque_Loss	MFT	Total_Mechanical_Power_Loss	Total_Volumetric_Power_Loss	Mechanical_Power_Loss	Volumetric_Power_Loss
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.524448e-002	-4.381327e-002	-3.549217e-002	1.062057e-001	2.931000e-002	2.689000e-002	2.640000e-002	0.000000e+000	5.700000e-002	-0.000000e+000	0.000000e+000	4.789000e-003	4.671522e-002	1.740522e-002	-0.000000e+000	-3.915479e-010	-3.915479e-010	0.000000e+000	-0.000000e+000	-2.869583e-007	-1.057120e-002	-1.057120e-002	0.000000e+000	-2.928146e-005	-2.928146e-005	0.000000e+000	5.019488e+001	2.975980e-001	-1.057120e-002	-1.057120e-002	0.000000e+000	-2.928146e-005	-2.928146e-005	0.000000e+000	3.232360e+002	1.329000e+000	4.742055e+001	3.580307e+002	-9.761543e+001	6.387812e+002	-4.760420e+001	-3.599410e+002	9.823296e+001	-6.428009e+002	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	1.836476e-001	1.910306e+000	-6.175264e-001	4.019680e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.662552e-003	2.750240e-005
9.46969697e-006	6.94444444e-004	2.50000000e-001	2.39057609e-007	-4.14898364e-007	-3.36100093e-007	1.00573574e-006	2.55014258e-002	-4.34046607e-002	-3.50969271e-002	1.03622842e-001	2.93120000e-002	2.68878038e-002	2.63978038e-002	0.00000000e+000	5.70000000e-002	-2.19624392e-006	0.00000000e+000	4.78700000e-003	4.67174161e-002	1.74052199e-002	-1.32036349e-002	8.41595051e-009	1.22862152e-008	-3.87026466e-009	-2.21839543e-007	6.64301957e-005	-4.94342502e-003	-1.62638721e-002	1.13204471e-002	6.77859140e-003	6.77859140e-003	0.00000000e+000	5.01948830e+001	3.03032000e-001	-2.75843191e-002	-1.62638721e-002	-1.13204471e-002	6.77859140e-003	6.77859140e-003	0.00000000e+000	3.23265000e+002	1.27479000e+000	4.78005165e+001	3.58023751e+002	-9.84047039e+001	6.38841746e+002	-4.77767853e+001	-3.58028431e+002	9.84133569e+001	-6.38860004e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-2.37312066e-002	4.67972893e-003	-8.65298839e-003	1.82577690e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.73516882e+000	-5.86564820e-004
1.89393939e-005	1.38888889e-003	5.00000000e-001	4.80548384e-007	-8.25927348e-007	-6.68457358e-007	1.98701265e-006	2.50234134e-002	-4.19234466e-002	-3.42362314e-002	1.00312221e-001	2.93180000e-002	2.68812164e-002	2.63912164e-002	0.00000000e+000	5.70000000e-002	-8.78358855e-006	0.00000000e+000	4.78100000e-003	4.67240035e-002	1.74052199e-002	-2.64075208e-002	1.12168519e-008	2.22664961e-008	-1.10496442e-008	-3.41835927e-007	9.50096549e-005	-3.80873568e-003	-2.64451537e-002	2.26364180e-002	9.69486275e-003	9.69486275e-003	0.00000000e+000	5.01948830e+001	3.12234000e-001	-4.90815718e-002	-2.64451537e-002	-2.26364180e-002	9.69486275e-003	9.69486275e-003	0.00000000e+000	3.23293000e+002	1.22838000e+000	4.81675646e+001	3.58073406e+002	-9.91818214e+001	6.38877970e+002	-4.81688335e+001	-3.58085545e+002	9.91839961e+001	-6.38901942e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	1.26890428e-003	1.21391084e-002	-2.17464679e-003	2.39722576e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	3.55819051e+000	-7.71456938e-004
2.84090909e-005	2.08333333e-003	7.50000000e-001	7.17512526e-007	-1.22292968e-006	-9.92664095e-007	2.93693899e-006	2.45827469e-002	-4.04538089e-002	-3.33997282e-002	9.70278053e-002	2.93290000e-002	2.68702421e-002	2.63802421e-002	0.00000000e+000	5.70000000e-002	-1.97578746e-005	0.00000000e+000	4.77000000e-003	4.67349778e-002	1.74052199e-002	-3.96119085e-002	1.04116086e-008	3.14540649e-008	-2.10424563e-008	-4.65886372e-007	1.20408311e-004	-3.46065868e-003	-3.74125696e-002	3.39519109e-002	1.22865624e-002	1.22865624e-002	0.00000000e+000	5.01948830e+001	3.26289000e-001	-7.13644804e-002	-3.74125696e-002	-3.39519109e-002	1.22865624e-002	1.22865624e-002	0.00000000e+000	3.23321000e+002	1.18881000e+000	4.85185360e+001	3.58190310e+002	-9.99442214e+001	6.38891130e+002	-4.85157184e+001	-3.58207963e+002	9.99488997e+001	-6.38916966e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-2.81760322e-003	1.76529039e-002	-4.67830685e-003	2.58369183e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	5.72791907e+000	-7.01441525e-004
3.78787879e-005	2.77777778e-003	1.00000000e+000	9.50303691e-007	-1.60601499e-006	-1.30894940e-006	3.85576290e-006	2.41789620e-002	-3.90410616e-002	-3.26101784e-002	9.38914509e-002	2.93450000e-002	2.68548878e-002	2.63648878e-002	0.00000000e+000	5.70000000e-002	-3.51121773e-005	0.00000000e+000	4.75400000e-003	4.67503321e-002	1.74052199e-002	-5.28170489e-002	5.05265339e-009	3.84717687e-008	-3.34191153e-008	-5.99555072e-007	1.42763970e-004	-3.34024830e-003	-4.86136554e-002	4.52734071e-002	1.45677520e-002	1.45677520e-002	0.00000000e+000	5.01948830e+001	3.47380000e-001	-9.38870625e-002	-4.86136554e-002	-4.52734071e-002	1.45677520e-002	1.45677520e-002	0.00000000e+000	3.23349000e+002	1.15543000e+000	4.88539717e+001	3.58354156e+002	-1.00693415e+002	6.38923059e+002	-4.88475790e+001	-3.58362498e+002	1.00697879e+002	-6.38944854e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-6.39269362e-003	8.34161201e-003	-4.46406338e-003	2.17946536e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	8.07221934e+000	-3.29746265e-004
4.73484848e-005	3.47222222e-003	1.25000000e+000	1.17927113e-006	-1.97572202e-006	-1.61775791e-006	4.74488649e-006	2.37496026e-002	-3.79392223e-002	-3.18436336e-002	9.12368396e-002	2.93640000e-002	2.68351632e-002	2.63451632e-002	0.00000000e+000	5.70000000e-002	-5.48368171e-005	0.00000000e+000	4.73500000e-003	4.67700567e-002	1.74052199e-002	-6.60231923e-002	-4.76078797e-009	4.30470211e-008	-4.78078091e-008	-2.70332759e-007	1.62452079e-004	-1.20489926e-003	-5.78074227e-002	5.66025234e-002	1.65767427e-002	1.65767427e-002	0.00000000e+000	5.01948830e+001	4.24185000e-001	-1.14409946e-001	-5.78074227e-002	-5.66025234e-002	1.65767427e-002	1.65767427e-002	0.00000000e+000	3.23400000e+002	1.10806000e+000	4.91910366e+001	3.58072678e+002	-1.01457848e+002	6.39942881e+002	-4.91905501e+001	-3.58087055e+002	1.01460072e+002	-6.39965613e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-4.86501563e-004	1.43775179e-002	-2.22377904e-003	2.27314334e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.04638333e+001	2.74133312e-004
5.68181818e-005	4.16666667e-003	1.50000000e+000	1.40417267e-006	-2.33499496e-006	-1.91930747e-006	5.60887171e-006	2.33222942e-002	-3.69350648e-002	-3.11119643e-002	8.87962880e-002	2.93880000e-002	2.68110806e-002	2.63210806e-002	0.00000000e+000	5.70000000e-002	-7.89193752e-005	0.00000000e+000	4.71100000e-003	4.67941393e-002	1.74052199e-002	-7.92305888e-002	-1.88236717e-008	4.50635628e-008	-6.38872345e-008	8.02180232e-007	1.79722186e-004	2.97959975e-003	-6.49669154e-002	6.79465152e-002	1.83389986e-002	1.83389986e-002	0.00000000e+000	5.01948830e+001	5.15795000e-001	-1.32913431e-001	-6.49669154e-002	-6.79465152e-002	1.83389986e-002	1.83389986e-002	0.00000000e+000	3.23428000e+002	1.08946000e+000	4.95193532e+001	3.57767868e+002	-1.02223784e+002	6.41128335e+002	-4.95237484e+001	-3.57783284e+002	1.02224304e+002	-6.41152871e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	4.39519941e-003	1.54152862e-002	-5.20217046e-004	2.45359740e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.28334296e+001	9.11451596e-004
6.62878788e-005	4.86111111e-003	1.75000000e+000	1.62502773e-006	-2.68475883e-006	-2.21392834e-006	6.44974565e-006	2.27988228e-002	-3.63531371e-002	-3.03527120e-002	8.69282967e-002	2.94170000e-002	2.67826553e-002	2.62926553e-002	0.00000000e+000	5.70000000e-002	-1.07344713e-004	0.00000000e+000	4.68200000e-003	4.68225646e-002	1.74052199e-002	-9.24394879e-002	-3.60866770e-008	4.52935455e-008	-8.13802225e-008	3.53341355e-006	1.95055988e-004	1.12499753e-002	-6.80604212e-002	7.93103965e-002	1.99036722e-002	1.99036722e-002	0.00000000e+000	5.01948830e+001	6.94284000e-001	-1.47370818e-001	-6.80604212e-002	-7.93103965e-002	1.99036722e-002	1.99036722e-002	0.00000000e+000	3.23455000e+002	1.07485000e+000	4.98605002e+001	3.56779322e+002	-1.03036237e+002	6.43845222e+002	-4.98604488e+001	-3.56792190e+002	1.03037306e+002	-6.43863651e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-5.14333343e-005	1.28677965e-002	-1.06980396e-003	1.84287229e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.51287212e+001	1.10322745e-003
7.57575758e-005	5.55555556e-003	2.00000000e+000	1.84092568e-006	-3.02901202e-006	-2.50135933e-006	7.27293028e-006	2.22051986e-002	-3.61903640e-002	-2.95845776e-002	8.55956400e-002	2.94500000e-002	2.67499050e-002	2.62599050e-002	0.00000000e+000	5.70000000e-002	-1.40094995e-004	0.00000000e+000	4.64900000e-003	4.68553149e-002	1.74052199e-002	-1.05650138e-001	-5.55381855e-008	4.45098944e-008	-1.00048080e-007	8.90746354e-006	2.08495452e-004	2.48164627e-002	-6.58803265e-002	9.06967892e-002	2.12750461e-002	2.12750461e-002	0.00000000e+000	5.02023335e+001	9.58549000e-001	-1.56577116e-001	-6.58803265e-002	-9.06967892e-002	2.12750461e-002	2.12750461e-002	0.00000000e+000	3.23482000e+002	1.06346000e+000	5.02344808e+001	3.55101036e+002	-1.03933408e+002	6.48088749e+002	-5.02229727e+001	-3.55105203e+002	1.03941533e+002	-6.48105218e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-1.15080190e-002	4.16686889e-003	-8.12445367e-003	1.64697594e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.73485543e+001	2.30211333e-004
8.52272727e-005	6.25000000e-003	2.25000000e+000	2.05120218e-006	-3.37172380e-006	-2.78151631e-006	8.08349505e-006	2.13470993e-002	-3.74473118e-002	-2.87062470e-002	8.58637630e-002	2.94870000e-002	2.67128503e-002	2.62228503e-002	0.00000000e+000	5.70000000e-002	-1.77149718e-004	0.00000000e+000	4.61200000e-003	4.68923696e-002	1.74052199e-002	-1.18862789e-001	-7.31103323e-008	4.65751914e-008	-1.19685524e-007	2.16446602e-005	2.20664919e-004	5.36052721e-002	-4.85069500e-002	1.02112222e-001	2.25168285e-002	2.25168285e-002	0.00000000e+000	5.02769287e+001	1.54427000e+000	-1.50619172e-001	-4.85069500e-002	-1.02112222e-001	2.25168285e-002	2.25168285e-002	0.00000000e+000	3.23529000e+002	1.04848000e+000	5.07911680e+001	3.50587475e+002	-1.05226496e+002	6.58311271e+002	-5.06686446e+001	-3.50533565e+002	1.05265624e+002	-6.58292989e+002	0.00000000e+000	0.00000000e+000	0.00000000e+000	-0.00000000e+000	-1.22523403e-001	-5.39106452e-002	-3.91282669e-002	-1.82818924e-002	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	1.95217245e+001	-3.97917606e-003
